sampling_date,depth,CSC_flag,salinity,temperature,HCO3,CO3,pH_insi,ta,dic,OmegaCalcite,OmegaAragonite,pCO2,fCO2
2007-01-09,1,15,38.16,15.46,0.0020155868576091,2.20795546024552e-4,NA,2561.8622699999996,2248.9497,5.147391299070119,3.319678141538184,347.4760634596125,346.228111052527
2007-01-09,50,15,38.17,15.5,0.00201462561748074,2.209364164878504e-4,NA,2561.31216,2248.09953,5.10699719018255,3.295858776273759,347.0858683784306,345.8399482315666
2007-01-16,1,15,38.21,15.45,0.00201962700769897,2.2063929555105516e-4,NA,2565.31296,2252.90049,5.141822253737264,3.3160943227979733,349.318574562891,348.0638436004211
2007-01-16,50,15,38.22,15.46,0.00202290739844807,2.189353019055153e-4,NA,2564.61282,2254.6008300000003,5.0588122224530405,3.264551350127024,352.87053472278956,351.60320064976236
2007-01-23,1,15,38.24,15.42,0.00201946130613001,2.2102946596279935e-4,NA,2566.3131599999997,2253.1005299999997,5.149754598746689,3.321036362638963,348.3889563864119,347.13709094361576
2007-01-23,50,15,38.25,15.44,0.00202097292559526,2.214362282870801e-4,NA,2569.0137,2255.0009099999997,5.115433014385646,3.3009902635487034,348.1190604044683,346.86848152947044
2007-01-30,1,15,38.18,14.95,0.00202365808342468,2.1699719040892587e-4,NA,2561.11212,2253.4506,5.058088884041649,3.258458643471049,348.44555060030945,347.18600898599675
2007-01-30,50,15,38.18,14.96,0.00202206171061763,2.1745850517526633e-4,NA,2560.96209,2252.25036,5.025847251148379,3.239651623230578,346.7750269932634,345.52168504812613
2007-02-06,1,15,38.17,14.75,0.00202891172633366,2.159031798491072e-4,NA,2563.5126,2257.70145,5.032999411036346,3.240875224283557,348.7965436375565,347.53253163347864
2007-02-06,50,15,38.18,14.76,0.00202450682194449,2.1683450190952108e-4,NA,2561.71224,2254.10073,5.011322984754609,3.2288905335659663,345.4791963888317,344.2273695567806
2007-02-20,1,15,38.1,14.27,0.00202697415223172,2.1363367057521015e-4,NA,2556.36117,2253.50061,4.982821358326945,3.2051664670253093,343.7772550532078,342.52382355984207
2007-02-20,50,15,38.11,14.29,0.00202654962533905,2.1336165437015669e-4,NA,2555.511,2252.80047,4.933433175497535,3.175407732184012,343.9104686875317,342.6568699958698
2007-03-20,1,15,38.03,14.24,0.00203023817695968,2.119447521282316e-4,NA,2555.21094,2255.20095,4.945969915686291,3.181143836818202,346.6623898590021,345.3979529309861
2007-03-20,50,15,38.14,14.14,0.00203662849844168,2.0884764797716296e-4,NA,2554.41078,2258.75166,4.827967572957159,3.106591322048995,352.658475458408,351.3705231007951
2007-04-03,1,15,38.08,14.1,0.00202794659039653,2.1225116144961604e-4,NA,2553.91068,2253.1505399999996,4.95137920047212,3.183770298475182,343.5485617997959,342.29325407798075
2007-04-03,50,15,38.09,13.98,0.002029500775377,2.0933851627520905e-4,NA,2548.90968,2251.9503,4.841057070506265,3.1138938782502192,346.48816173587187,345.2201744659067
2007-04-17,1,15,38.01,15.77,0.00200799372655675,2.154923574781825e-4,NA,2542.05831,2236.29717,5.0294852151162726,3.245633503587744,357.20534421702723,355.9274517718485
2007-04-17,50,15,38.03,15.01,0.00201438451088121,0.00021319643909735615,NA,2542.70844,2240.4480000000003,4.932852355868171,3.179807652483298,350.7384912012883,349.47162156502424
2007-04-24,1,15,37.87,18.04,0.00199610860199057,2.193848889870136e-4,NA,2537.75745,2228.34558,5.128251274625971,3.3268586866886483,382.5458706776567,381.215781779178
2007-04-24,50,15,38.02,14.85,0.00201873118262754,2.1227160168337737e-4,NA,2544.85887,2243.9487,4.911714721894533,3.1650649983364856,351.16943370264147,349.8984320342256
