"datetime";"hour";"depth";"T";"S";"Month";"Year";"year.month"
1995-10-04;08:00:00;50;20.253;38.017;"10";"1995";"1995-10"
1995-10-04;08:00:00;0;20.618;38.044;"10";"1995";"1995-10"
1995-10-11;08:00:00;50;18.713;38.002;"10";"1995";"1995-10"
1995-10-11;08:00:00;0;20.434;37.782;"10";"1995";"1995-10"
1995-10-18;08:00:00;50;18.545;37.988;"10";"1995";"1995-10"
1995-10-18;08:00:00;0;20.303;37.545;"10";"1995";"1995-10"
1995-10-24;08:00:00;50;19.269;37.821;"10";"1995";"1995-10"
1995-10-24;08:00:00;0;20.21;37.949;"10";"1995";"1995-10"
1995-10-31;08:00:00;50;19.318;38.141;"10";"1995";"1995-10"
1995-10-31;08:00:00;0;19.708;38.046;"10";"1995";"1995-10"
1995-11-09;08:00:00;50;16.719;38.028;"11";"1995";"1995-11"
1995-11-09;08:00:00;0;18.132;38.174;"11";"1995";"1995-11"
1995-11-15;08:00:00;50;17.944;38.166;"11";"1995";"1995-11"
1995-11-15;08:00:00;0;17.881;38.096;"11";"1995";"1995-11"
1995-11-29;08:00:00;50;16.259;38.103;"11";"1995";"1995-11"
1995-11-29;08:00:00;0;16.28;38.108;"11";"1995";"1995-11"
1995-12-06;08:00:00;50;16.084;38.143;"12";"1995";"1995-12"
1995-12-06;08:00:00;0;16.078;38.144;"12";"1995";"1995-12"
1995-12-13;08:00:00;50;15.58;38.152;"12";"1995";"1995-12"
1995-12-13;08:00:00;0;15.573;38.154;"12";"1995";"1995-12"
1995-12-19;08:00:00;50;15.165;38.148;"12";"1995";"1995-12"
1995-12-19;08:00:00;0;15.211;38.15;"12";"1995";"1995-12"
1995-12-29;08:00:00;50;14.917;38.174;"12";"1995";"1995-12"
1995-12-29;08:00:00;0;14.902;38.172;"12";"1995";"1995-12"
1996-01-03;08:00:00;50;14.785;38.134;"01";"1996";"1996-01"
1996-01-03;08:00:00;0;14.815;38.132;"01";"1996";"1996-01"
1996-01-10;08:00:00;50;14.259;38.053;"01";"1996";"1996-01"
1996-01-10;08:00:00;0;14.28;38.061;"01";"1996";"1996-01"
1996-01-17;08:00:00;50;14.315;37.98;"01";"1996";"1996-01"
1996-01-17;08:00:00;0;13.75;37.593;"01";"1996";"1996-01"
1996-01-24;08:00:00;50;14.394;38.05;"01";"1996";"1996-01"
1996-01-24;08:00:00;0;13.795;37.957;"01";"1996";"1996-01"
1996-02-01;08:00:00;50;14.206;38.065;"02";"1996";"1996-02"
1996-02-01;08:00:00;0;14.166;38.034;"02";"1996";"1996-02"
1996-02-08;08:00:00;50;13.888;38.018;"02";"1996";"1996-02"
1996-02-08;08:00:00;0;13.852;37.999;"02";"1996";"1996-02"
1996-02-13;08:00:00;50;13.739;38.073;"02";"1996";"1996-02"
1996-02-13;08:00:00;0;13.738;38.07;"02";"1996";"1996-02"
1996-02-21;08:00:00;50;13.589;38.059;"02";"1996";"1996-02"
1996-02-21;08:00:00;0;13.52;38.037;"02";"1996";"1996-02"
1996-02-28;08:00:00;50;13.492;38.057;"02";"1996";"1996-02"
1996-02-28;08:00:00;0;13.49;38.062;"02";"1996";"1996-02"
1996-03-06;08:00:00;50;13.385;38.068;"03";"1996";"1996-03"
1996-03-06;08:00:00;0;13.402;38.067;"03";"1996";"1996-03"
1996-03-13;08:00:00;50;13.307;38.082;"03";"1996";"1996-03"
1996-03-13;08:00:00;0;13.298;38.086;"03";"1996";"1996-03"
1996-03-20;08:00:00;50;13.307;38.112;"03";"1996";"1996-03"
1996-03-20;08:00:00;0;13.522;37.972;"03";"1996";"1996-03"
1996-03-27;08:00:00;50;13.393;38.129;"03";"1996";"1996-03"
