"datetime";"depth";"temperature";"salinity";"ta";"dic";"NO2";"NO3";"Chla";"pH_s_somlit_temp_25";"pH_s_somlit_temp_insi";"diff_pH";"pH_insi";"Pt";"Sit";"quarter";"monthd";"week";"Patm";"P";"pH_calc";"CO2";"fCO2";"pCO2_w";"fCO2pot";"pCO2pot";"fCO2insitu";"pCO2insitu";"HCO3";"CO3";"OmegaAragonite";"OmegaCalcite";"pH_18";"Nta";"Ndic";"Year.Month";"Year";"Month";"impute_temp";"impute_sal";"impute_pco2_w";"impute_ta";"impute_dic";"impute_Pt";"impute_Sit"
2007-03-13;50;NA;NA;NA;NA;0.115;0.157;NA;NA;NA;NA;NA;NA;NA;1;3;11;NA;NA;8.12591264703701;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;8.06395759024051;NA;NA;"2007-03";2007;"03";13.9881469268191;38.1325;348.254941443027;2554.30050268797;2258.00542674516;0.0840983804989387;2.15545161652252
2007-03-20;50;14.14;38.14;2554.41078;2258.75166;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;3;12;1;5;8.12240086664486;1.32755135811501e-05;351.370523100795;352.658475458408;351.290423895808;352.578204848089;353.754226263935;361.519526021646;0.00203662849844168;0.00020884764797716;3.10659132204899;4.82796757295716;8.06281738661446;2545.0343377032;2250.46048977451;"2007-03";2007;"03";14.14;38.14;352.658475458408;2554.41078;2258.75166;0.0855560278109306;2.12334965246977
2007-03-27;50;NA;NA;NA;NA;0.259;0.893;0.577;NA;NA;NA;NA;NA;NA;1;3;13;NA;NA;8.13097773293003;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;8.06385300487286;NA;NA;"2007-03";2007;"03";13.6562747703102;38.115;347.687180074621;2551.21875441422;2255.34824550577;0.0870136751229224;2.09124768841702
2007-04-03;50;13.98;38.09;2548.90968;2251.9503;0.269;0.578;0.333;NA;NA;NA;NA;0.0884713224349143;2.05914572436427;2;4;14;1;5;8.12833908603575;1.3111008347789e-05;345.220174465907;346.488161735872;345.141866011295;346.409685106213;347.56346302805;355.208559253634;0.002029500775377;0.0002093385162752;3.11389387825022;4.84105707050626;8.06624651264198;2542.88705276975;2246.62933578367;"2007-04";2007;"04";13.98;38.09;346.488161735872;2548.90968;2251.9503;0.0884713224349143;2.05914572436427
2007-04-10;50;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;4;15;NA;NA;8.12696994764199;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;8.07239694121306;NA;NA;"2007-04";2007;"04";14.4653202916301;38.06;348.876285348568;2546.2140695344;2245.95884072208;0.0680570300514212;2.08070339363816
2007-04-17;50;15.01;38.03;2542.70844;2240.448;NA;NA;0.455;NA;NA;NA;NA;NA;NA;2;4;16;1;5;8.12266279313368;1.28670500214291e-05;349.471621565024;350.738491201288;349.390113173423;350.656811742787;351.835260520217;359.472530712319;0.00201438451088121;0.00021319643909735;3.1798076524833;4.93285235586817;8.07653409217673;2540.70262214042;2238.68062056271;"2007-04";2007;"04";15.01;38.03;350.738491201288;2542.70844;2240.448;0.0476427376679281;2.10226106291204
2007-04-24;50;14.85;38.02;2544.85887;2243.9487;0;0.203;0.423;NA;NA;NA;NA;0.027228445284435;2.12381873218593;2;4;17;1;5;8.12279122941087;1.29459156890823e-05;349.898432034226;351.169433702641;349.817172564345;351.088003071559;352.266276881987;359.928625313415;0.00201873118262754;0.00021227160168337;3.16506499833649;4.91171472189453;8.07418846713824;2543.52017517096;2242.76829563388;"2007-04";2007;"04";14.85;38.02;351.169433702641;2544.85887;2243.9487;0.027228445284435;2.12381873218593
2007-05-02;50;14.65;38.07;2553.36057;2248.39959;0.112;0.536;0.384;NA;NA;NA;NA;0.099181307462467;1.46146573643223;2;5;18;1;5;8.13070031766971;1.27803301209752e-05;343.43168577688;344.682368379704;343.352325431619;344.602840131493;345.757389158576;353.297449308412;0.00202066735627587;0.00021495190360315;3.20248549173045;4.97179502227599;8.07895941182197;2548.66565957447;2244.26541686367;"2007-05";2007;"05";14.65;38.07;344.682368379704;2553.36057;2248.39959;0.099181307462467;1.46146573643223
2007-05-09;50;15.1;37.98;2541.5082;2235.99711;NA;NA;0.609;NA;NA;NA;NA;NA;NA;2;5;19;1;5;8.1273058171858;1.26671609602927e-05;344.880878239184;346.129669880888;344.800280062227;346.048902885546;347.212737105549;354.740931489596;0.00200800779799651;0.00021532215104319;3.21328518657408;4.98394352162856;8.08254720750587;2542.84654028436;2237.17457030016;"2007-05";2007;"05";15.1;37.98;346.129669880888;2541.5082;2235.99711;0.0763368580229078;1.33033413897311
2007-05-15;50;15.05;37.88;2530.25595;2223.64464;0;0.324;0.423;NA;NA;NA;NA;0.0534924085833485;1.19920254151398;2;5;20;1;5;8.13260622052637;1.2464071363151e-05;338.651101692907;339.878106906917;338.572116985459;339.798956563668;340.941237474123;348.338144975437;0.00199554281107873;0.00021563775755811;3.21980943854708;4.99489456398695;8.08705673305207;2538.27154435058;2230.68892080253;"2007-05";2007;"05";15.05;37.88;339.878106906917;2530.25595;2223.64464;0.0534924085833485;1.19920254151398
2007-05-22;50;14.82;37.98;2540.0079;2236.84728;0.038;0.979;0.858;NA;NA;NA;NA;0.0272290859303536;1.77961525901954;2;5;21;1;5;8.12807247463896;1.27497466102211e-05;344.206600401552;345.45739609655;344.126749116849;345.377376500955;346.536170770994;354.076736185057;0.0020105309336893;0.00021356659970047;3.18502395471817;4.94311721040581;8.0789827539435;2541.34545023697;2238.02518799368;"2007-05";2007;"05";14.82;37.98;345.45739609655;2540.0079;2236.84728;0.0272290859303536;1.77961525901954
2007-05-30;50;14.77;37.99;2541.10812;2241.9483;0;0.377;0.525;NA;NA;NA;NA;0.0943276003112015;1.39352011593765;2;5;22;1;5;8.12193330337407;1.29934990467368e-05;350.276028785249;351.549698737947;350.194872026987;351.468370722863;352.647089770472;360.325608774612;0.00201796777508127;0.00021098702587198;3.14598092721955;4.88302284715992;8.07210121794641;2541.7770086865;2242.53844169518;"2007-05";2007;"05";14.77;37.99;351.549698737947;2541.10812;2241.9483;0.0943276003112015;1.39352011593765
2007-06-05;50;15.7;37.92;2536.95729;2220.89409;0;0.124;0.512;NA;NA;NA;NA;0.0136178067523945;1.71778905176633;2;6;23;1;5;8.13641020095624;1.21123062264446e-05;335.644284932869;336.850396975526;335.564682953631;336.770630508798;337.908962112038;345.179271612596;0.00198657037250622;0.00022221141126733;3.32224685163232;5.1462781959405;8.10089122167195;2542.30952056962;2225.57952056962;"2007-06";2007;"06";15.7;37.92;336.850396975526;2536.95729;2220.89409;0.0136178067523945;1.71778905176633
2007-06-12;50;14.81;37.98;2551.26015;2245.49901;0.103;0.596;0.493;NA;NA;NA;NA;0;1.09694079195417;2;6;24;1;5;8.1310290026956;1.27078654009142e-05;342.972073775752;344.218540302879;342.892530071327;344.138828898887;345.293369821491;352.807846561017;0.00201714159587235;0.00021564954872673;3.2160145551062;4.99132205802936;8.0817635386631;2552.60362559242;2246.68147393365;"2007-06";2007;"06";14.81;37.98;344.218540302879;2551.26015;2245.49901;0;1.09694079195417
2007-06-19;50;16.02;37.89;2533.60662;2219.39379;NA;NA;0.199;NA;NA;NA;NA;NA;NA;2;6;25;1;5;8.12923672089808;1.22169991326432e-05;341.723580892874;342.946578116512;341.641924953917;342.864754661599;344.026716527197;351.398489152744;0.0019860162697174;0.00022116052114995;3.30986604488565;5.12348597176058;8.0986866110432;2540.96203642122;2225.8370023753;"2007-06";2007;"06";16.02;37.89;342.946578116512;2533.60662;2219.39379;0.0812029932520485;1.2345627521366
2007-06-27;50;15;38;2543.0085;2238.39759;0.012;0.254;0.307;NA;NA;NA;NA;0.162405986504097;1.37218471231904;2;6;26;1;5;8.1268113386213;1.27348744713008e-05;345.719343224141;346.972764637943;345.638747905702;346.892000128701;348.057685198606;355.613893320154;0.00201108659710696;0.00021457611842173;3.20096860003052;4.96586877171312;8.08050798407554;2543.0085;2238.39759;"2007-06";2007;"06";15;38;346.972764637943;2543.0085;2238.39759;0.162405986504097;1.37218471231904
2007-07-03;50;15.69;37.95;2540.85807;2236.09713;0;0.154;0.397;NA;NA;NA;NA;0.0817048182285823;2.62719897661191;3;7;27;1;5;8.11731970196381;1.27953145342517e-05;354.524693297581;355.798838943106;354.440617751367;355.714589619559;356.916844479105;364.597265429558;0.00200826822789217;0.00021503358757357;3.21418894609141;4.9789184883402;8.08171201557588;2544.20570909091;2239.04323952569;"2007-07";2007;"07";15.69;37.95;355.798838943106;2540.85807;2236.09713;0.0817048182285823;2.62719897661191
2007-07-10;50;14.62;38.01;2539.40778;2250.90009;0.023;0.762;0.41;NA;NA;NA;NA;0.0544545858251353;1.43623970113794;3;7;28;1;5;8.10660252678767;1.36080333223486e-05;365.217750233268;366.548312017556;365.133460585351;366.463843896303;367.691246534813;375.71291443285;0.00203318077640711;0.00020411128027053;3.04201412731429;4.72312163754023;8.05453837770352;2538.73969060773;2250.30790370955;"2007-07";2007;"07";14.62;38.01;366.548312017556;2539.40778;2250.90009;0.0544545858251353;1.43623970113794
2007-07-17;50;15.18;37.93;2536.55721;2239.54782;NA;NA;0.577;NA;NA;NA;NA;NA;NA;3;7;29;1;5;8.11345516385328;1.31155571700785e-05;357.850057724135;359.144511822551;357.766284563761;359.060563495011;360.268932106078;368.072313201994;0.00201659349614661;0.00020983876668331;3.13311452157394;4.8588809574884;8.06999804193556;2541.23843870287;2243.68091642499;"2007-07";2007;"07";15.18;37.93;359.144511822551;2536.55721;2239.54782;0.0363030572167569;1.16440319414962
