"datetime";"PROF_NUM";"T";"S";"O";"oxy_umol_kg";"year";"month";"year.month";"AOU";"OSAT";"neg_AOU";"mean_AOU"
2009-12-08 09:00:00;1;16.744;37.917;4.6;199.876030596223;2009;"12";"2009-12";34.8288686932338;234.704899289457;-34.8288686932338;22.3925966545526
2009-12-15 09:00:00;1;15.988;37.971;4.56;198.095398849781;2009;"12";"2009-12";39.9667176068691;238.06211645665;-39.9667176068691;22.3925966545526
2009-12-22 09:00:00;1;14.512;37.862;4.785;207.819037284698;2009;"12";"2009-12";37.4376557100791;245.256692994777;-37.4376557100791;22.3925966545526
2010-01-05 09:00:00;1;14.215;37.854;5.01;217.57862796137;2010;"01";"2010-01";29.1517337848432;246.730361746213;-29.1517337848432;-0.608437997236735
2010-01-12 09:00:00;1;13.997;37.878;4.96;215.39339302806;2010;"01";"2010-01";32.3781139404244;247.771506968484;-32.3781139404244;-0.608437997236735
2010-01-19 09:00:00;1;13.634;37.867;4.95;214.944663161224;2010;"01";"2010-01";34.6679673934071;249.612630554631;-34.6679673934071;-0.608437997236735
2010-01-25 09:00:00;1;13.067;37.715;5.85;254.025248991272;2010;"01";"2010-01";-1.24703975586078;252.778209235411;1.24703975586078;-0.608437997236735
2010-02-02 09:00:00;1;13.217;37.941;4.82;209.270107496;2010;"02";"2010-02";42.3378801293714;251.607987625371;-42.3378801293714;-0.608437997236735
2010-02-11 09:00:00;1;13.201;37.918;5.17;224.46923412122;2010;"02";"2010-02";27.2612386194777;251.730472740698;-27.2612386194777;-0.608437997236735
2010-02-16 09:00:00;1;13.203;37.957;5.52;239.658459565608;2010;"02";"2010-02";11.9933768890976;251.651836454706;-11.9933768890976;-0.608437997236735
2010-02-23 09:00:00;1;12.901;37.28;4.99;216.745298562158;2010;"02";"2010-02";37.6658190439051;254.411117606063;-37.6658190439051;-0.608437997236735
2010-03-02 09:00:00;1;13.136;37.812;5.78;250.970759020993;2010;"03";"2010-03";1.28034090189959;252.251099922893;-1.28034090189959;-0.608437997236735
2010-03-09 09:00:00;1;12.514;37.502;4.53;196.716768827931;2010;"03";"2010-03";59.3353600302842;256.052128858215;-59.3353600302842;-0.608437997236735
2010-03-16 09:00:00;1;13.151;37.916;5.54;240.53169038802;2010;"03";"2010-03";11.4594443162614;251.991134704281;-11.4594443162614;-0.608437997236735
2010-03-23 09:00:00;1;13.267;37.863;4.99;216.665945975544;2010;"03";"2010-03";34.8221202714527;251.488066246997;-34.8221202714527;-0.608437997236735
2010-03-30 09:00:00;1;13.818;37.836;4.99;216.694918942077;2010;"03";"2010-03";32.044333499635;248.739252441712;-32.044333499635;-0.608437997236735
2010-04-06 09:00:00;1;13.939;37.721;4.99;216.719155254972;2010;"04";"2010-04";31.6118037331591;248.330958988131;-31.6118037331591;-0.608437997236735
2010-04-13 09:00:00;1;13.865;37.743;5.89;255.798588749298;2010;"04";"2010-04";-7.13482047553458;248.663768273763;7.13482047553458;-0.608437997236735
2010-04-20 09:00:00;1;14.78;37.793;6.05;262.78851505386;2010;"04";"2010-04";-18.719166963836;244.069348090024;18.719166963836;-0.608437997236735
2010-04-27 09:00:00;1;15.163;37.78;5.96;258.903449383123;2010;"04";"2010-04";-16.6534260652093;242.250023317914;16.6534260652093;-0.608437997236735
2010-05-05 09:00:00;1;15.987;37.61;5.92333333333333;257.390873821415;2010;"05";"2010-05";-18.7360525771967;238.654821244218;18.7360525771967;-0.608437997236735
2010-05-11 09:00:00;1;16.34;37.7;5.88666666666667;255.800961649346;2010;"05";"2010-05";-18.9168382019004;236.884123447446;18.9168382019004;-0.608437997236735
2010-05-18 09:00:00;1;16.66;37.63;5.85;254.239798651442;2010;"05";"2010-05";-18.6973897994203;235.542408852022;18.6973897994203;-0.608437997236735
2010-05-25 09:00:00;1;18.057;37.485;5.69;247.39551581129;2010;"05";"2010-05";-17.7833338411369;229.612181970153;17.7833338411369;-0.608437997236735
2010-06-02 09:00:00;1;20.115;37.367;5.58;242.760486267978;2010;"06";"2010-06";-21.5057697549491;221.254716513029;21.5057697549491;-0.608437997236735
2010-06-08 09:00:00;1;21.465;37.458;5.47;238.044510760795;2010;"06";"2010-06";-22.1940942567694;215.850416504026;22.1940942567694;-0.608437997236735
2010-06-15 09:00:00;1;21.384;37.645;5.25;228.433764900655;2010;"06";"2010-06";-12.5403008467733;215.893464053882;12.5403008467733;-0.608437997236735
2010-06-23 09:00:00;1;21.83;37.54;5.25;228.479435207088;2010;"06";"2010-06";-14.1277854118828;214.351649795205;14.1277854118828;-0.608437997236735
2010-06-29 09:00:00;1;23.564;37.259;5.28;229.945233255132;2010;"06";"2010-06";-21.5506002540365;208.394633001095;21.5506002540365;-0.608437997236735
2010-07-06 09:00:00;1;24.749;37.624;5.09;221.687910939049;2010;"07";"2010-07";-17.9079265366951;203.779984402354;17.9079265366951;-0.608437997236735
2010-07-13 09:00:00;1;24.624;37.469;5.27;229.545305857492;2010;"07";"2010-07";-25.1338603399471;204.411445517545;25.1338603399471;-0.608437997236735
2010-07-20 09:00:00;1;27.343;37.798;4.99;217.478237662394;2010;"07";"2010-07";-22.3995261445147;195.078711517879;22.3995261445147;-0.608437997236735
2010-07-27 09:00:00;1;25.327;38.01;4.94;215.130915733867;2010;"07";"2010-07";-13.8032651380556;201.327650595811;13.8032651380556;-0.608437997236735
2010-08-03 09:00:00;1;25.354;37.98;5.07;220.798948170086;2010;"08";"2010-08";-19.5225419996077;201.276406170478;19.5225419996077;-0.608437997236735
2010-08-17 09:00:00;1;21.214;37.907;4.87;211.848528866405;2010;"08";"2010-08";4.3217758140502;216.170304680455;-4.3217758140502;-0.608437997236735
2010-08-24 09:00:00;1;24.575;37.965;5.04;219.443594434396;2010;"08";"2010-08";-15.5177822796933;203.925812154703;15.5177822796933;-0.608437997236735
