"datetime";"depth";"temperature";"salinity"
1996-07-26;"50";14.633;37.949
1996-07-31;"0";24.169;37.995
1996-07-31;"50";15.278;37.944
1996-08-07;"0";25.149;37.966
1996-08-07;"50";14.37;38.009
1996-08-14;"0";23.398;38.031
1996-08-14;"50";17.924;37.957
1996-08-21;"0";24.746;38.031
1996-08-21;"50";14.807;37.97
1996-08-28;"0";24.059;38.024
1996-08-28;"50";14.265;37.996
1996-09-04;"0";23.13;37.953
1996-09-04;"50";15.921;37.954
1996-09-11;"0";22.131;38.041
1996-09-11;"50";15.671;37.92
1996-09-18;"0";21.677;38.09
1996-09-18;"50";15.579;37.963
1996-09-25;"0";21.164;38.095
1996-09-25;"50";17.436;37.933
1996-10-03;"0";21.004;38.048
1996-10-03;"50";16.001;37.938
1996-10-10;"0";20.161;38.029
1996-10-10;"50";20.006;38.061
1996-10-16;"0";19.596;37.987
1996-10-16;"50";19.579;38.019
1996-10-23;"0";19.546;37.973
1996-10-23;"50";19.424;37.982
1996-10-30;"0";19.039;37.996
1996-10-30;"50";18.664;38.013
1996-11-06;"0";18.69;37.982
1996-11-06;"50";18.296;37.97
1996-11-14;"0";17.821;37.803
1996-11-14;"50";17.895;37.954
1996-11-22;"0";16.723;37.951
1996-11-22;"50";16.235;38.012
1996-11-27;"0";16.185;37.945
1996-11-27;"50";16.161;37.943
1996-12-04;"0";15.791;37.966
1996-12-04;"50";15.789;37.965
1996-12-11;"0";15.335;37.573
1996-12-11;"50";15.333;37.963
1996-12-18;"0";14.424;37.731
1996-12-18;"50";14.691;37.906
1996-12-23;"0";14.582;37.772
1996-12-23;"50";14.763;37.925
1997-01-02;"0";13.82;37.884
1997-01-02;"50";13.856;37.924
1997-01-09;"0";13.041;37.572
1997-01-09;"50";13.712;37.911
1997-01-15;"0";13.151;37.654
1997-01-15;"50";13.423;37.791
1997-01-22;"0";13.138;37.607
1997-01-22;"50";13.297;37.72
1997-01-29;"0";13.31;37.659
1997-01-29;"50";13.4;37.713
1997-02-05;"0";13.267;37.658
1997-02-05;"50";13.401;37.716
1997-02-12;"0";13.31;37.684
1997-02-12;"50";13.403;37.727
1997-02-19;"0";13.433;37.729
1997-02-19;"50";13.436;37.739
1997-02-26;"0";13.637;37.669
1997-02-26;"50";13.548;37.927
1997-03-05;"0";13.83;37.704
1997-03-05;"50";13.631;37.947
1997-03-12;"0";13.916;37.83
1997-03-12;"50";13.802;37.875
1997-03-20;"0";14.177;37.808
1997-03-20;"50";13.832;37.876
1997-03-26;"0";14.209;37.839
1997-03-26;"50";13.986;37.858
