"datetime";"PROF_NUM";"T";"S";"O";"oxy_umol_kg"
2002-11-27 09:00:00;1;17.537;37.625;5.03;218.648944755134
2002-12-04 09:00:00;50;17.365;37.821;5.09;221.215549925812
2002-12-04 09:00:00;1;17.209;37.685;5.04;219.056638387187
2002-12-13 09:00:00;50;15.953;37.849;5.37;233.302876587795
2002-12-13 09:00:00;1;15.969;37.827;5.38;233.742036922415
2002-12-18 09:00:00;50;15.834;37.863;5.37;233.294137379615
2002-12-18 09:00:00;1;15.824;37.86;5.38;233.728574598734
2002-12-23 09:00:00;50;15.648;37.914;5.29;229.800199036643
2002-12-23 09:00:00;1;15.617;37.89;5.35;232.409196014453
2002-12-30 09:00:00;50;15.451;37.862;5.37;233.274261953377
2002-12-30 09:00:00;1;15.314;37.786;5.34;231.977227914129
2003-01-09 09:00:00;50;14.93;37.943;5.39;234.101930219854
2003-01-09 09:00:00;1;14.866;37.939;5.43;235.836653974247
2003-01-15 09:00:00;50;14.527;37.925;5.4;234.518966736095
2003-01-15 09:00:00;1;14.512;37.917;5.34;231.913848789652
2003-01-23 09:00:00;50;14.086;37.88;5.56;241.453201027941
2003-01-23 09:00:00;1;13.948;37.843;5.54;240.584391024012
2003-01-30 09:00:00;50;13.93;37.919;5.44;236.227305756655
2003-01-30 09:00:00;1;13.941;37.919;5.38;233.622395685393
2003-02-05 09:00:00;50;13.583;37.978;5.52;239.673299092752
2003-02-05 09:00:00;1;13.658;37.962;5.42;235.337875716517
2003-02-12 09:00:00;50;13.454;37.983;5.58;242.271100293187
2003-02-12 09:00:00;1;13.447;37.981;5.58;242.271117564187
2003-02-19 09:00:00;50;13.244;38.117;5.43;235.724508410492
2003-02-19 09:00:00;1;13.252;38.118;5.38;233.554137026195
2003-02-28 09:00:00;50;13.111;38.124;5.48;237.887408668154
2003-02-28 09:00:00;1;13.128;38.121;5.42;235.284143798851
2003-03-05 09:00:00;50;13.152;38.114;5.54;240.495825510654
2003-03-05 09:00:00;1;13.296;38.112;5.66;245.712685370296
2003-03-12 09:00:00;50;13.192;38.128;5.6;243.099879479522
2003-03-12 09:00:00;1;13.663;38.093;5.92;257.02291385873
2003-03-19 09:00:00;50;13.325;38.143;5.69;247.010739061759
2003-03-19 09:00:00;1;13.52;38.121;5.7;247.458854434272
2003-03-26 09:00:00;50;13.451;38.136;5.69;247.01841777644
2003-03-26 09:00:00;1;14.07;38.071;5.91;256.614837608842
2003-04-02 09:00:00;50;13.569;38.13;NA;NA
2003-04-02 09:00:00;1;13.619;38.126;NA;NA
2003-04-10 09:00:00;50;13.473;38.118;5.67;246.154615025351
2003-04-10 09:00:00;1;13.37;38;5.65;245.302980133814
2003-04-16 09:00:00;50;13.618;38.046;5.8;251.819559837319
2003-04-16 09:00:00;1;13.777;38.019;5.86;254.438156754978
2003-04-24 09:00:00;50;13.632;38.079;5.7;247.472407738729
2003-04-24 09:00:00;1;14.648;37.959;5.83;253.193748485833
2003-04-30 09:00:00;50;14.499;37.944;5.88;255.359914625241
2003-04-30 09:00:00;1;15.822;37.842;5.72;248.502767210071
2003-05-07 09:00:00;50;16.351;37.87;5.76;250.265513552348
2003-05-07 09:00:00;1;16.742;37.852;5.42;235.517453180978
2003-05-14 09:00:00;50;14.146;38.055;5.78;250.977229757597
2003-05-14 09:00:00;1;19.43;37.463;5.32;231.391542847835
2003-05-21 09:00:00;50;14.145;38.039;5.79;251.414420149803
2003-05-21 09:00:00;1;19.268;37.669;5.48;238.304260281385
2003-05-27 09:00:00;50;14.303;38.057;5.82;252.722136443654
2003-05-27 09:00:00;1;18.7;37.835;5.38;233.893146039506
2003-06-04 09:00:00;50;14.151;38.057;5.79;251.411333983739
2003-06-04 09:00:00;1;21.096;37.634;5.44;236.684373956038
