datetime;depth;temperature;salinity;ta;dic;NO2;NO3;Chla;pH_s_somlit_temp_25;pH_s_somlit_temp_insi;diff_pH;pH_insi;Pt;Sit;quarter;monthd;week;Patm;P;pH_calc;CO2;fCO2;pCO2_w;fCO2pot;pCO2pot;fCO2insitu;pCO2insitu;HCO3;CO3;OmegaAragonite;OmegaCalcite;pH_18;Nta;Ndic;Year.Month;Year;Month;speed_ms;impute_temp;impute_sal;pCO2_LAMP;pCO2_PR;pCO2_CORSE;impute_pCO2_w;impute_ta;impute_dic;pCO2_atmos;impute_pCO2_atmos;delta_pCO2;impute_Pt;impute_Sit;Tmean;pCO2_w_mean;NpCO2;TpCO2;delta_pCO2_T;delta_pCO2_bio;Flux_CO2_2014;SC;K600;k;rho;K0;Flux_wan_92
21/05/2013;0;16.6;37.45;2559.46179;2273.85468;0.055;1.1;0.04;NA;NA;NA;NA;0.072020003937998;1.78687469229952;2;5;21;1;0;8.07683175470629;1.41920355397238e-05;402.831750848292;404.263010717964;402.831750848292;404.263010717964;402.831750848292;404.263013005509;0.00205503629800194;0.00020462634645833;3.1000975151665;4.79657223225382;8.0553450780199;2597.05068144192;2307.24907449933;2013-05;2013;5;1.5933049;16.6;37.45;388.558898982374;387.047758514851;386.767630487196;404.263010717964;2559.46179;2273.85468;386.767630487196;386.767630487196;17.495380230768;0.072020003937998;1.78687469229952;18.8349598521183;411.419879263541;444.346420477673;374.306692695992;-40.0834097597094;29.9563180219725;3.90398183319792e-06;789.732957176;0.675273054160827;0.77471849868091;1.02749230704995;3.61992502024433e-08;4.90644445613493e-06
28/05/2013;0;16.98;37.55;2567.26335;2260.10193;0.008;0.354;0.39;NA;NA;NA;NA;0.0535291298723477;1.41414228553675;2;5;22;1;0;8.10432764638703;1.30265016639743e-05;374.087669716242;375.410400849941;374.087669716242;375.410400849941;374.087669716242;375.410402806888;0.00202830095414299;0.00021877447419303;3.31546778701193;5.12486172232149;8.08862627483377;2598.02948868176;2287.18703968043;2013-05;2013;5;1.8020831;16.98;37.55;387.588628547486;385.447442343023;384.078789142162;375.410400849941;2567.26335;2260.10193;384.078789142162;384.078789142162;-8.66838829222098;0.0535291298723477;1.41414228553675;18.8349598521183;411.419879263541;406.053381124013;380.371914068089;-30.6429802740722;-4.96151321814835;-2.4744267591886e-06;774.397072178152;0.863835930815292;0.981380649156503;1.02747793829565;3.57788939770662e-08;-3.04370640656106e-06
04/06/2013;0;18.56;37.8;2552.71044;2257.10133;0.014;1.241;0.17;NA;NA;NA;NA;0.0798227173698127;0.678493097643408;2;6;23;1;0;8.06034260241926;1.39174270983547e-05;418.807228369612;420.259040886863;418.807228369612;420.259040886863;418.807228369612;420.259043259254;0.00203177824104175;0.00021140566185988;3.21224343458125;4.94539722737866;8.06890578111204;2566.21684444444;2269.04366507937;2013-06;2013;6;1.6627005;18.56;37.8;382.767324708192;383.654235245577;381.281386070147;420.259040886863;2552.71044;2257.10133;381.281386070147;381.281386070147;38.977654816716;0.0798227173698127;0.678493097643408;18.8349598521183;411.419879263541;425.175526383611;406.662456166597;-4.91648549674773;13.5965847202664;9.47175332246625e-06;714.887579498496;0.735376405418266;0.802699406826118;1.02727647845037;3.41375328079818e-08;1.06807260940855e-05
11/06/2013;0;18.16;37.81;2568.11352;2263.40259;0.032;0.597;0.27;NA;NA;NA;NA;0.0535339292073779;1.08917212332829;2;6;24;1;0;8.07914308254355;1.34489313479247e-05;400.156629138944;401.55073262205;400.156629138944;401.55073262205;400.156629138944;401.550734806177;0.00203239691293934;0.00021755674571273;3.30166738610055;5.08810380818444;8.08159131814537;2581.01861306533;2274.77647236181;2013-06;2013;6;2.0070896;18.16;37.81;384.687510254159;NA;383.811262029246;401.55073262205;2568.11352;2263.40259;383.811262029246;383.811262029246;17.739470592804;0.0535339292073779;1.08917212332829;18.8349598521183;411.419879263541;413.180558412806;399.839611447773;-11.6298257907557;1.71112117427668;6.28146284158273e-06;729.336492709376;1.07155670420589;1.18141778586995;1.0273858245477;3.45295827084132e-08;7.23661535723159e-06
18/06/2013;0;20.86;37.68;2556.56121;2262.90249;0.132;0.4;0.41;NA;NA;NA;NA;0.070136178006519;1.12315296168773;2;6;25;1;0;8.02308500203823;1.44812421136879e-05;464.17225490241;465.735930473625;464.17225490241;465.735930473625;464.17225490241;465.735933250276;0.00203688997591348;0.00021153127197283;3.24043673392043;4.95932260620171;8.06663858302922;2578.27298248408;2282.1203455414;2013-06;2013;6;4.546927;20.86;37.68;381.001258042492;386.578616766114;385.295262065023;465.735930473625;2556.56121;2262.90249;385.295262065023;385.295262065023;80.440668408602;0.070136178006519;1.12315296168773;18.8349598521183;411.419879263541;427.502271771107;448.215209454478;38.2336587025183;17.5207210191471;0.000146183465455179;638.879828911736;5.49942900812551;5.6748131079025;1.02657433077274;3.20270573577102e-08;0.000146198956022786
25/06/2013;0;21.82;37.96;2560.46199;2257.00131;0.053;0.464;0.2;NA;NA;NA;NA;0.0448115979545226;0.721856393136984;2;6;26;1;0;8.02085449216102;1.41566575098367e-05;466.341437867199;467.893863196789;466.341437867199;467.893863196789;466.341437867199;467.893865943625;0.00202471893304101;0.00021812571944914;3.34555890193202;5.10570673462222;8.07900896423921;2563.16005321391;2259.37960432034;2013-06;2013;6;0.547718;21.82;37.96;384.435491959383;NA;383.563120939005;467.893863196789;2560.46199;2257.00131;383.563120939005;383.563120939005;84.330742257784;0.0448115979545226;0.721856393136984;18.8349598521183;411.419879263541;412.391971375192;466.790941789306;55.5018918215965;1.10292140748282;2.22375311378526e-06;610.224580623608;0.079798672001384;0.0804757230809157;1.02651996580625;3.11619135742912e-08;2.11482740309449e-06
02/07/2013;0;22.02;38.01;2553.16053;2242.04832;0.186;0.347;0.27;NA;NA;NA;NA;0.0594251578967661;0.784217247654045;3;7;27;1;0;8.03044823664923;1.36559218295609e-05;452.367811329667;453.869979901294;452.367811329667;453.869979901294;452.367811329667;453.869982475176;0.00200561095001666;0.00022278144815377;3.41809366279243;5.21330716722731;8.09170809231924;2552.48882241515;2241.45846250987;2013-07;2013;7;1.5698074;22.02;38.01;382.087844613431;NA;382.136309670118;453.869979901294;2553.16053;2242.04832;382.136309670118;382.136309670118;71.733670231176;0.0594251578967661;0.784217247654045;18.8349598521183;411.419879263541;396.66161850024;470.756744850582;57.2083614010544;-16.8867649492879;1.55382611008867e-05;604.447605952648;0.655502542643206;0.657927571128163;1.0265012691421;3.09876625574802e-08;1.46248006962092e-05
09/07/2013;0;22.64;38.06;2557.46139;2242.29837;0.045;0.233;0.16;NA;NA;NA;NA;0.0477414738582894;0.597255581125131;3;7;28;1;0;8.02637131952445;1.35887286264711e-05;457.694646742071;459.202938288658;457.694646742071;459.202938288658;457.694646742071;459.202940889556;0.00200292941585195;0.00022578022552157;3.47060887814586;5.28389926400304;8.09704528647877;2553.42965895954;2238.76348029427;2013-07;2013;7;2.3765016;22.64;38.06;382.883640844243;377.106606087068;375.201929359241;459.202938288658;2557.46139;2242.29837;375.201929359241;375.201929359241;84.001008929417;0.0477414738582894;0.597255581125131;18.8349598521183;411.419879263541;390.934116364767;483.266129814834;68.2688219238908;-24.0631915261758;4.17010839059068e-05;586.922521880064;1.50230412137748;1.4858419680303;1.02636127542786;3.04721607381343e-08;3.80329816473879e-05
16/07/2013;0;24.75;38.06;2561.41218;2243.64864;0.002;0.348;0.27;NA;NA;NA;NA;0.0692188145650786;0.738983963948304;3;7;29;1;0;7.99817004303223;1.38926586208233e-05;494.049723012591;495.636301029244;494.049723012591;495.636301029244;494.049723012591;495.636303929162;0.00200122626254099;0.00022852971883818;3.54214104816606;5.35913198581433;8.10064825163415;2557.37422070415;2240.11162165003;2013-07;2013;7;2.2034414;24.75;38.06;NA;NA;378.938585229863;495.636301029244;2561.41218;2243.64864;378.938585229863;378.938585229863;116.697715799381;0.0692188145650786;0.738983963948304;18.8349598521183;411.419879263541;385.922354639112;528.382522227215;109.713946390132;-32.7462211979711;4.98025963657934e-05;530.896842484375;1.29147096486023;1.21482604052799;1.02573267754025;2.88435622195998e-08;4.08907751552623e-05
23/07/2013;0;25.75;37.95;2554.06071;2231.24616;0.04;0.547;0.35;NA;NA;NA;NA;0.0614430587879144;0.71390982591672;3;7;30;1;0;7.99334149454958;1.3681046527386e-05;498.553512556092;500.135169680364;498.553512556092;500.135169680364;498.553512556092;500.135172572541;0.0019855107161392;0.00023205439733341;3.61538186086807;5.45340894092031;8.11092939998017;2557.42574387352;2234.18587826087;2013-07;2013;7;1.792597;25.75;37.95;378.799975167736;377.739559727409;373.881741215068;500.135169680364;2554.06071;2231.24616;373.881741215068;373.881741215068;126.253428465296;0.0614430587879144;0.71390982591672;18.8349598521183;411.419879263541;373.296198732289;551.212554063299;126.838970948075;-51.0773843829354;3.56611324089698e-05;505.795396671875;0.854765465172794;0.784799609376648;1.02533957851056;2.81368361202653e-08;2.78790017863975e-05
30/07/2013;0;24.66;37.92;2545.05891;2219.99391;0.001;0.257;0.22;NA;NA;NA;NA;0.0555742893521039;1.03738673457261;3;7;31;1;0;8.0147240409883;1.32266069483117e-05;468.953236449629;470.460832909067;468.953236449629;470.460832909067;468.953236449629;470.460835526746;0.00197405301581423;0.00023271428723745;3.60974547834126;5.46342822248291;8.11600847266162;2550.42823259494;2224.6774414557;2013-07;2013;7;1.2708296;24.66;37.92;382.77701771953;NA;379.743105170879;470.460832909067;2545.05891;2219.99391;379.743105170879;379.743105170879;90.717727738188;0.0555742893521039;1.03738673457261;18.8349598521183;411.419879263541;367.716959936217;526.37479410046;102.74387297285;-55.9139611913931;1.28781484275552e-05;533.193178009576;0.429592094014819;0.404970088645181;1.02565414087193;2.89280958778037e-08;1.06275940985684e-05
06/08/2013;0;26.34;37.97;2554.46079;2233.29657;0.008;0.234;0.3;NA;NA;NA;NA;0.0516988257217934;0.745243450027362;3;8;32;1;0;7.98170989442911;1.3912408285032e-05;514.455532937575;516.076012627849;514.455532937575;516.076012627849;514.455532937575;516.076015669917;0.00198813623407816;0.0002312479276368;3.61165089494578;5.43753131633998;8.10808429488855;2556.47906294443;2235.06109191467;2013-08;2013;8;1.680875;26.34;37.97;381.45779887649;378.80869887794;380.985749224352;516.076012627849;2554.46079;2233.29657;380.985749224352;380.985749224352;135.090263403497;0.0516988257217934;0.745243450027362;18.8349598521183;411.419879263541;375.699968099796;565.142264664128;140.376044528053;-49.0662520362791;3.35491486003821e-05;491.273213921224;0.75154064365625;0.680046155724186;1.02516835266643;2.77236024690976e-08;2.54690121872951e-05
