"datetime";"depth";"temperature";"salinity";"impute_temp";"impute_sal"
1995-01-18;0;14.037;38.036;14.037;38.036
1995-01-26;0;13.853;38.175;13.853;38.175
1995-02-01;0;13.876;38.191;13.876;38.191
1995-02-08;0;13.708;38.118;13.708;38.118
1995-02-15;0;13.567;38.172;13.567;38.172
1995-02-22;0;13.521;37.893;13.521;37.893
1995-03-01;0;13.232;38.089;13.232;38.089
1995-03-08;0;12.965;38.045;12.965;38.045
1995-03-15;0;12.864;38.046;12.864;38.046
1995-03-22;0;13.093;37.972;13.093;37.972
1995-03-29;0;13.015;38.014;13.015;38.014
1995-04-05;0;13.689;37.974;13.689;37.974
1995-04-11;0;13.844;38.034;13.844;38.034
1995-04-19;0;14.188;38.093;14.188;38.093
1995-04-26;0;13.932;37.947;13.932;37.947
1995-05-03;0;16.502;37.774;16.502;37.774
1995-05-10;0;17.413;37.728;17.413;37.728
1995-05-17;0;16.825;37.724;16.825;37.724
1995-05-24;0;18.058;37.641;18.058;37.641
1995-05-31;0;17.549;37.736;17.549;37.736
1995-06-07;0;19.469;37.729;19.469;37.729
1995-06-14;0;18.589;37.95;18.589;37.95
1995-06-21;0;21.835;37.786;21.835;37.786
1995-06-29;0;20.947;37.959;20.947;37.959
1995-07-05;0;22.37;37.971;22.37;37.971
1995-07-19;0;25.308;37.726;25.308;37.726
1995-07-26;0;26.833;38.397;26.833;38.397
1995-08-02;0;26.179;38.066;26.179;38.066
1995-08-09;0;23.525;38.143;23.525;38.143
1995-08-16;0;25.297;38.195;25.297;38.195
1995-08-23;0;24.855;38.315;24.855;38.315
1995-08-30;0;24.138;38.264;24.138;38.264
1995-09-06;0;22.266;38.162;22.266;38.162
1995-09-13;0;21.889;37.672;21.889;37.672
1995-09-21;0;21.183;38.022;21.183;38.022
1995-09-27;0;21.073;38.072;21.073;38.072
1995-10-04;0;20.618;38.044;20.618;38.044
1995-10-11;0;20.434;37.782;20.434;37.782
1995-10-18;0;20.303;37.545;20.303;37.545
1995-10-24;0;20.21;37.949;20.21;37.949
1995-10-31;0;19.708;38.046;19.708;38.046
1995-11-09;0;18.132;38.174;18.132;38.174
1995-11-15;0;17.881;38.096;17.881;38.096
1995-11-29;0;16.28;38.108;16.28;38.108
1995-12-06;0;16.078;38.144;16.078;38.144
1995-12-13;0;15.573;38.154;15.573;38.154
1995-12-19;0;15.211;38.15;15.211;38.15
1995-12-29;0;14.902;38.172;14.902;38.172
1996-01-03;0;14.815;38.132;14.815;38.132
1996-01-10;0;14.28;38.061;14.28;38.061
1996-01-17;0;13.75;37.593;13.75;37.593
1996-01-24;0;13.795;37.957;13.795;37.957
