datetime;depth;temperature;salinity;ta;dic;NO2;NO3;Chla;pH_s_somlit_temp_25;pH_s_somlit_temp_insi;diff_pH;pH_insi;Pt;Sit;quarter;monthd;week;Patm;P;pH_calc;CO2;fCO2;pCO2_w;fCO2pot;pCO2pot;fCO2insitu;pCO2insitu;HCO3;CO3;OmegaAragonite;OmegaCalcite;pH_18;Nta;Ndic;Year.Month;Year;Month;speed_ms;impute_temp;impute_sal;pCO2_LAMP;pCO2_PR;pCO2_CORSE;impute_pCO2_w;impute_ta;impute_dic;pCO2_atmos;impute_pCO2_atmos;delta_pCO2;impute_Pt;impute_Sit;Tmean;pCO2_w_mean;NpCO2;TpCO2;delta_pCO2_T;delta_pCO2_bio
09/03/2010;0;12.51;37.5;2542.55841;2250.09993;0.404;0.777;0.76;NA;NA;NA;NA;0.103069612409934;2.71578705151836;1;3;10;1;0;8.15326539687061;1.29515124843314e-05;324.68069046337;325.895883094502;324.68069046337;325.895883094502;324.68069046337;325.895884715358;0.00203091273913107;0.00020623567838459;3.09602641928742;4.83210211108437;8.06817707906441;2576.4591888;2280.1012624;2010-03;2010;3;5.5739822;12.51;37.5;NA;NA;NA;325.895883094502;2542.55841;2250.09993;NA;381.238736820262;-55.3428537257601;0.103069612409934;2.71578705151836;18.8349598521183;411.419879263541;425.865579369211;314.841234818328;-99.9696962747087;11.0546482761737
16/03/2010;0;13;37.86;2545.85907;2254.4508;NA;NA;0.34;NA;NA;NA;NA;NA;NA;1;3;11;1;0;8.13920785016732;1.32078380200293e-05;336.927961192965;338.18110018133;336.927961192965;338.18110018133;336.927961192965;338.181101908644;0.00203554574704865;0.00020569721493131;3.08353414127162;4.80685827710209;8.06184847369107;2555.27323454834;2262.78738510301;2010-03;2010;3;2.806281;13;37.86;NA;381.172824343167;NA;338.18110018133;2545.85907;2254.4508;381.172824343167;381.172824343167;-42.991724161837;0.0894520924543161;2.97278102473787;18.8349598521183;411.419879263541;432.853941303175;321.435048013952;-94.6728411218447;16.7460521673781
23/03/2010;0;13.27;37.86;2542.70844;2254.10073;0.231;0.475;0.73;NA;NA;NA;NA;0.0758345724986982;3.22977499795738;1;3;12;1;0;8.13072054249595;1.3398707280284e-05;344.687557454134;345.965138310823;344.687557454134;345.965138310823;344.687557454134;345.965140108254;0.00203687416125658;0.00020382786146312;3.05701946672784;4.76295088679144;8.05761723004576;2552.1109540412;2262.43602060222;2010-03;2010;3;2.2833843;13.27;37.86;NA;380.48946704387;NA;345.965138310823;2542.70844;2254.10073;380.48946704387;380.48946704387;-34.524328733047;0.0758345724986982;3.22977499795738;18.8349598521183;411.419879263541;437.788455502021;325.127201607024;-91.8233171911979;20.8379367037994
30/03/2010;0;13.82;37.84;2542.45839;2247.19935;0.159;0.433;0.43;NA;NA;NA;NA;0.0602864937241236;3.74845860171768;1;3;13;1;0;8.13353849439274;1.30672163452375e-05;341.895703999334;343.154045699915;341.895703999334;343.154045699915;341.895703999334;343.154047447774;0.00202579611461488;0.00020833601903987;3.12832818403434;4.86864306742001;8.06893562682208;2553.20874260042;2256.70125;2010-03;2010;3;3.584386;13.82;37.84;NA;NA;NA;343.154045699915;2542.45839;2247.19935;NA;380.854893571296;-37.7008478713805;0.0602864937241236;3.74845860171768;18.8349598521183;411.419879263541;424.245484647688;332.779961507185;-81.0914389477733;10.3740841927303
06/04/2010;0;13.94;37.72;2544.75885;2246.09913;0.113;0.131;0.54;NA;NA;NA;NA;0.0573760259455188;2.56344414224386;2;4;14;1;0;8.13846105615937;1.2871649648544e-05;337.796985186502;339.038331133868;337.796985186502;339.038331133868;337.796985186502;339.038332835722;0.00202243362874048;0.00021079385161096;3.168488107944;4.9302826795481;8.07568401581582;2563.64889448568;2262.77218822906;2010-04;2010;4;3.387762;13.94;37.72;NA;381.220320098721;NA;339.038331133868;2544.75885;2246.09913;381.220320098721;381.220320098721;-42.181988964853;0.0573760259455188;2.56344414224386;18.8349598521183;411.419879263541;417.034926098897;334.473447021869;-77.9965949650288;4.56488411199899
13/04/2010;0;13.86;37.74;2538.90768;2252.60043;0.179;NA;0.5;NA;NA;NA;NA;0.00777955303794067;1.90501805016572;2;4;15;1;0;8.11973922543573;1.35549354139017e-05;354.893936706205;356.199469383006;354.893936706205;356.199469383006;354.893936706205;356.199471264693;0.0020363009263827;0.00020274456820338;3.04661202380727;4.74136575588434;8.05585382548027;2556.39882988871;2268.11913990461;2010-04;2010;4;4.1950884;13.86;37.74;NA;NA;NA;356.199469383006;2538.90768;2252.60043;NA;381.355052956313;-25.1555835733066;0.00777955303794067;1.90501805016572;18.8349598521183;411.419879263541;439.629216966805;333.343501822717;-83.4297475837988;22.8559675602891
20/04/2010;0;14.78;37.79;2541.85827;2240.74806;NA;NA;0.42;NA;NA;NA;NA;NA;NA;2;4;16;1;0;8.12908308634357;1.28364345001808e-05;345.759225934875;347.016305621013;345.759225934875;347.016305621013;345.759225934875;347.016307372514;0.00201519973168712;0.00021271189381269;3.2014335871927;4.97247410037462;8.07936702194968;2555.98344165123;2253.19995448531;2010-04;2010;4;3.8784223;14.78;37.79;NA;381.489785813904;NA;347.016305621013;2541.85827;2240.74806;381.489785813904;381.489785813904;-34.473480192891;0.0335566931203085;1.95291636031159;18.8349598521183;411.419879263541;411.947770568943;346.571620872951;-64.9314649479298;0.444684748061604
27/04/2010;0;15.16;37.78;2541.0081;2232.49641;0.013;NA;0.13;NA;NA;NA;NA;0.0593338332026764;2.00081467045746;2;4;17;1;0;8.13543274296335;1.24643801363928e-05;339.593732475852;340.822435146973;339.593732475852;340.822435146973;339.593732475852;340.822436823;0.00200251812569571;0.00021751390416789;3.27666529036407;5.08514923729721;8.09156386671318;2555.80486500794;2245.49665378507;2010-04;2010;4;4.196347;15.16;37.78;NA;380.255865470635;NA;340.822435146973;2541.0081;2232.49641;380.255865470635;380.255865470635;-39.433430323662;0.0593338332026764;2.00081467045746;18.8349598521183;411.419879263541;398.143473045129;352.187426421981;-57.3210378981564;-11.3649912750084
04/05/2010;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;5;18;NA;NA;8.12107383990763;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;8.08676391348578;NA;NA;2010-05;2010;5;11.247633;15.775;37.74;380.148273044789;380.371212305552;NA;352.02668148181;2540.633025;2235.4150394605;380.148273044789;380.148273044789;-28.1215915629785;0.0619377803546114;2.24634399679922;18.8349598521183;411.419879263541;400.67205475093;361.469618545827;-48.6453732691202;-9.44293706401663
11/05/2010;0;16.39;37.7;2540.25795;2235.14694;NA;NA;0.35;NA;NA;NA;NA;NA;NA;2;5;19;1;0;8.11190849043359;1.28126510742265e-05;361.941592540227;363.230927816648;361.941592540227;363.230927816648;361.941592540227;363.230929671571;0.00200621079410029;0.00021612349482547;3.26698672004964;5.05636698620802;8.08711072728371;2560.47220424403;2252.93325517241;2010-05;2010;5;3.2553124;16.39;37.7;380.293668214852;381.007073849295;NA;363.230927816648;2540.25795;2235.14694;380.293668214852;380.293668214852;-17.062740398204;0.0645417275065464;2.49187332314097;18.8349598521183;411.419879263541;402.808232382501;370.996450552189;-39.5773045658531;-7.76552273554125
