"sampling_date";"depth";"temperature";"salinity";"ta";"dic";"NO2";"NO3";"Chla";"pH_s_somlit_temp_25";"pH_s_somlit_temp_insi";"diff_pH";"pH_insi";"Pt";"Sit";"quarter";"monthd";"week";"CSC_flag";"Patm";"P";"pH_calc";"CO2";"fCO2";"pCO2";"fCO2pot";"pCO2pot";"fCO2insitu";"pCO2insitu";"HCO3";"CO3";"OmegaAragonite";"OmegaCalcite";"Nta";"Ndic";"pH18";"Year.Month";"Year";"Month"
2007-01-02;"0";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"2007-01";"2007";"01"
2007-01-02;"50";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"2007-01";"2007";"01"
2007-01-09;"0";15.46;38.16;2561.86227;2248.9497;0.077;0.438;0.416;NA;NA;NA;NA;0.0777978441991181;1.72516719511544;1;1;2;15;1;0;8.13058352595055;1.25672963663476e-05;346.228111052527;347.476063459612;346.228111052527;347.476063459612;346.228111052527;347.476065190722;0.0020155868576091;0.00022079554602455;3.31967814153818;5.14739129907012;2551.1207091195;2239.52014150943;8.09136510248296;"2007-01";"2007";"01"
2007-01-09;"50";15.5;38.17;2561.31216;2248.09953;NA;NA;0.282;NA;NA;NA;NA;NA;NA;1;1;2;15;1;5;8.12882900384111;1.25374960314061e-05;345.839948231567;347.085868378431;345.758197193229;347.00394767484;348.175040400975;355.685514040847;0.00201462561748074;0.00022093641648785;3.29585877627376;5.10699719018255;2549.90469164265;2238.08703536809;8.09023796200032;"2007-01";"2007";"01"
2007-01-16;"0";15.45;38.21;2565.31296;2252.90049;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;3;15;1;0;8.12911083210409;1.26341867499705e-05;348.063843600421;349.318574562891;348.063843600421;349.318574562891;348.063843600421;349.318576312778;0.00201962700769897;0.00022063929555105;3.31609432279797;5.14182225373726;2551.21414498822;2240.51867626276;8.08974415299413;"2007-01";"2007";"01"
2007-01-16;"50";15.46;38.22;2564.61282;2254.60083;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;3;15;1;5;8.12329954599025;1.27581296464116e-05;351.603200649762;352.87053472279;351.520142195939;352.787303738152;353.977536114701;361.617136293472;0.00202290739844807;0.00021893530190551;3.26455135012702;5.05881222245304;2549.85052747253;2241.62301255887;8.08411082637102;"2007-01";"2007";"01"
2007-01-23;"0";15.42;38.24;2566.31316;2253.10053;0.198;0.299;0.301;NA;NA;NA;NA;0.094323381557358;1.5480703447352;1;1;4;15;1;0;8.13013625993134;1.26097579071894e-05;347.137090943616;348.388956386412;347.137090943616;348.388956386412;347.137090943616;348.388958128099;0.00201946130613001;0.00022102946596279;3.32103636263896;5.14975459874669;2550.20659205021;2238.95973169456;8.0902995085644;"2007-01";"2007";"01"
2007-01-23;"50";15.44;38.25;2569.0137;2255.00091;0.19;0.273;0.25;NA;NA;NA;NA;0.15363968006863;2.13539707234627;1;1;4;15;1;5;8.1287039053966;1.25917561176545e-05;346.86848152947;348.119060404468;346.786565940127;348.036974588241;349.21100686603;356.749625302325;0.00202097292559526;0.00022143622828708;3.3009902635487;5.11543301438565;2552.22276078431;2240.26234196078;8.0891798091038;"2007-01";"2007";"01"
2007-01-30;"0";14.95;38.18;2561.11212;2253.4506;0.211;0.489;0.359;NA;NA;NA;NA;0.259617134427872;1.76870250009101;1;1;5;15;1;0;8.12962657609921;1.27953261663859e-05;347.186008985997;348.445550600309;347.186008985997;348.445550600309;347.186008985997;348.445552359937;0.00202365808342468;0.00021699719040892;3.25845864347105;5.05808888404165;2549.03773074908;2242.82668412782;8.08252580042754;"2007-01";"2007";"01"
2007-01-30;"50";14.96;38.18;2560.96209;2252.25036;0.213;0.48;0.346;NA;NA;NA;NA;0.319903461388517;2.68757801604213;1;1;5;15;1;5;8.12924261486038;1.27301442071033e-05;345.521685048126;346.775026993263;345.441118762575;346.694291450872;347.85901567703;355.414786189388;0.00202206171061763;0.00021745850517526;3.23965162323058;5.02584725114838;2548.88840806705;2241.63210267156;8.08229700795732;"2007-01";"2007";"01"
2007-02-06;"0";14.75;38.17;2563.5126;2257.70145;0.357;0.682;0.404;NA;NA;NA;NA;0.121539217213353;2.13909022295502;1;2;6;15;1;0;8.12973666997152;1.28865438172327e-05;347.532531633479;348.796543637557;347.532531633479;348.796543637557;347.532531633479;348.796545408197;0.00202891172633366;0.0002159031798491;3.24087522428356;5.03299941103635;2552.0953314121;2247.6461907257;8.0795408335165;"2007-02";"2007";"02"
2007-02-06;"50";14.76;38.18;2561.71224;2254.10073;0.28;0.578;0.512;NA;NA;NA;NA;0.12445549340263;2.27520198876683;1;2;6;15;1;5;8.13080772821447;1.27594061459809e-05;344.227369556781;345.479196388832;344.147527406899;345.399185747914;346.557567638425;354.104411718661;0.00202450682194449;0.00021683450190952;3.22889053356597;5.01132298475461;2549.63502147721;2243.47374908329;8.08076222496523;"2007-02";"2007";"02"
2007-02-13;"0";NA;NA;NA;NA;NA;NA;0.448;NA;NA;NA;NA;NA;NA;1;2;7;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"2007-02";"2007";"02"
2007-02-13;"50";NA;NA;NA;NA;NA;NA;0.436;NA;NA;NA;NA;NA;NA;1;2;7;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"2007-02";"2007";"02"
2007-02-20;"0";14.27;38.1;2556.36117;2253.50061;0.213;0.213;NA;NA;NA;NA;NA;0.0845870220948086;1.86091448608579;1;2;8;15;1;0;8.13423564721533;1.28927871930655e-05;342.523823559842;343.777255053208;342.523823559842;343.777255053208;342.523823559842;343.777256790797;0.00202697415223172;0.00021363367057521;3.20516646702531;4.98282135832695;2549.65156062992;2247.58591023622;8.07659114115173;"2007-02";"2007";"02"
2007-02-20;"50";14.29;38.11;2555.511;2252.80047;0.281;0.281;NA;NA;NA;NA;NA;0.0797254385629631;2.25175750868076;1;2;8;15;1;5;8.13186172001658;1.28891902907886e-05;342.65686999587;343.910468687532;342.578444630954;343.831876060998;344.980242413209;352.538259269655;0.00202654962533905;0.00021336165437015;3.17540773218401;4.93343317549753;2548.13482025715;2246.29802833902;8.07454102686841;"2007-02";"2007";"02"
2007-02-27;"0";NA;NA;NA;NA;0.337;0.749;0.455;NA;NA;NA;NA;NA;NA;1;2;9;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"2007-02";"2007";"02"
2007-02-27;"50";NA;NA;NA;NA;0.33;0.682;0.397;NA;NA;NA;NA;NA;NA;1;2;9;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"2007-02";"2007";"02"
2007-03-06;"0";NA;NA;NA;NA;0.053;0.397;0.666;NA;NA;NA;NA;NA;NA;1;3;10;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"2007-03";"2007";"03"
2007-03-06;"50";NA;NA;NA;NA;0.104;0.37;0.602;NA;NA;NA;NA;NA;NA;1;3;10;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"2007-03";"2007";"03"
2007-03-13;"0";NA;NA;NA;NA;0.007;0.271;NA;NA;NA;NA;NA;NA;NA;1;3;11;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"2007-03";"2007";"03"
2007-03-13;"50";NA;NA;NA;NA;0.115;0.157;NA;NA;NA;NA;NA;NA;NA;1;3;11;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"2007-03";"2007";"03"
2007-03-20;"0";14.24;38.03;2555.21094;2255.20095;NA;NA;0.41;NA;NA;NA;NA;NA;NA;1;3;12;15;1;0;8.131240810777;1.30180209120804e-05;345.397952930986;346.662389859002;345.397952930986;346.662389859002;345.397952930986;346.662391627001;0.00203023817695968;0.00021194475212823;3.1811438368182;4.94596991568629;2553.19525953195;2253.42193268472;8.07315304766629;"2007-03";"2007";"03"
2007-03-20;"50";14.14;38.14;2554.41078;2258.75166;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;3;12;15;1;5;8.1226537234276;1.32755135811501e-05;351.370523100795;352.658475458408;351.290423895808;352.578204848089;353.754226263935;361.519526021646;0.00203662849844168;0.00020884764797716;3.10659132204899;4.82796757295716;2545.0343377032;2250.46048977451;8.063072326276;"2007-03";"2007";"03"
2007-03-27;"0";NA;NA;NA;NA;NA;NA;0.653;NA;NA;NA;NA;NA;NA;1;3;13;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"2007-03";"2007";"03"
2007-03-27;"50";NA;NA;NA;NA;0.259;0.893;0.577;NA;NA;NA;NA;NA;NA;1;3;13;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"2007-03";"2007";"03"
2007-04-03;"0";14.1;38.08;2553.91068;2253.15054;NA;NA;0.666;NA;NA;NA;NA;NA;NA;2;4;14;15;1;0;8.13423971580045;1.2952788153853e-05;342.293254077981;343.548561799796;342.293254077981;343.548561799796;342.293254077981;343.548563541325;0.00202794659039653;0.00021225116144961;3.18377029847518;4.95137920047212;2548.54532142857;2248.41703046218;8.07396760063862;"2007-04";"2007";"04"
2007-04-03;"50";13.98;38.09;2548.90968;2251.9503;0.269;0.578;0.333;NA;NA;NA;NA;0.0884713224349143;2.05914572436427;2;4;14;15;1;5;8.12833908603575;1.3111008347789e-05;345.220174465907;346.488161735872;345.141866011295;346.409685106213;347.56346302805;355.208559253634;0.002029500775377;0.0002093385162752;3.11389387825022;4.84105707050626;2542.88705276975;2246.62933578367;8.06624651264198;"2007-04";"2007";"04"
2007-04-10;"0";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;4;15;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"2007-04";"2007";"04"
