Date;heure;Depth;Temperature;QC_TEMP;Temperature adjusted;QC_Temperature adjusted;Salinity;QC_PSAL;Salinity adjusted;QC_Salinity adjusted;Turbidity;Turbidity adjusted;QC_turbidity adjusted;Fluorescence;Fluorescence adjusted;QC_Fluorescence adjusted
2018-01-01;00:02:50;0.817;13.339;1;13.339;1;38.286;1;38.286;1;1.539;1.04;2;0.777;0.477;1
2018-01-01;01:02:50;0.922;13.383;1;13.383;1;38.219;1;38.219;1;4.25;3.75;2;0.877;0.577;1
2018-01-01;02:02:50;0.917;13.404;1;13.404;1;38.277;1;38.277;1;1.098;0.59;2;0.78;0.48;1
2018-01-01;03:02:50;0.98;13.395;1;13.395;1;38.372;1;38.372;1;1.532;1.03;2;1.255;0.955;1
2018-01-01;04:02:50;0.846;13.375;1;13.375;1;38.385;1;38.385;1;1.07;0.56;2;0.758;0.458;1
2018-01-01;05:02:50;1.087;13.379;1;13.379;1;38.393;1;38.393;1;1.044;0.54;2;0.775;0.475;1
2018-01-01;06:02:50;1.114;13.374;1;13.374;1;38.387;1;38.387;1;1.07;0.56;2;0.747;0.447;1
2018-01-01;07:02:50;1.048;13.376;1;13.376;1;38.394;1;38.394;1;1.629;1.12;2;0.714;0.414;1
2018-01-01;08:02:50;0.841;13.358;1;13.358;1;38.4;1;38.4;1;0.769;0.26;2;0.905;0.605;1
2018-01-01;09:02:50;0.991;13.362;1;13.362;1;38.403;1;38.403;1;3.156;2.64;2;0.707;0.407;1
2018-01-01;10:02:50;1.086;13.362;1;13.362;1;38.404;1;38.404;1;1.481;0.96;2;0.511;0.211;1
2018-01-01;11:02:50;0.967;13.369;1;13.369;1;38.411;1;38.411;1;0.771;0.25;2;0.455;0.155;1
2018-01-01;12:02:50;1.035;13.372;1;13.372;1;38.404;1;38.404;1;1.836;1.32;2;0.477;0.177;1
2018-01-01;13:02:50;0.865;13.377;1;13.377;1;38.402;1;38.402;1;0.816;0.3;2;0.524;0.224;1
2018-01-01;14:02:50;1.064;13.396;1;13.396;1;38.381;1;38.381;1;1.145;0.62;2;0.635;0.335;1
2018-01-01;15:02:50;0.786;13.395;1;13.395;1;38.364;1;38.364;1;2.792;2.27;2;0.836;0.536;1
2018-01-01;16:02:50;0.933;13.373;1;13.373;1;38.399;1;38.399;1;0.634;0.11;2;0.791;0.491;1
2018-01-01;17:02:50;0.983;13.361;1;13.361;1;38.348;1;38.348;1;0.667;0.14;2;0.9;0.6;1
2018-01-01;18:02:50;0.837;13.349;1;13.349;1;38.327;1;38.327;1;0.944;0.42;2;0.834;0.534;1
2018-01-01;20:04:22;0.753;13.334;1;13.334;1;38.324;1;38.324;1;2.109;1.58;2;0.759;0.459;1
2018-01-01;21:04:22;0.805;13.338;1;13.338;1;38.329;1;38.329;1;1.938;1.41;2;0.751;0.451;1
2018-01-01;22:04:22;0.826;13.337;1;13.337;1;38.349;1;38.349;1;1.23;0.7;2;0.747;0.447;1
2018-01-01;23:04:22;0.843;13.354;1;13.354;1;38.33;1;38.33;1;1.875;1.34;2;0.812;0.512;1
2018-01-02;00:04:22;0.997;13.354;1;13.354;1;38.394;1;38.394;1;3.399;2.86;2;0.784;0.484;1
2018-01-02;01:04:22;0.871;13.372;1;13.372;1;38.359;1;38.359;1;0.69;0.15;2;0.804;0.504;1
