Date;heure;Depth;Temperature;QC_TEMP;Temperature adjusted;QC_Temperature adjusted;Salinity;QC_PSAL;Salinity adjusted;QC_Salinity adjusted;Turbidity;Turbidity adjusted;QC_turbidity adjusted;Fluorescence;Fluorescence adjusted;QC_Fluorescence adjusted
2016-01-01;00:59:56;1.139;15.73;1;15.73;1;33.835;1;38.435;2;16.928;13.92;2;2.576;0.576;2
2016-01-01;01:59:56;1.122;15.708;1;15.708;1;32.876;1;37.476;2;16.29;13.28;2;2.788;0.788;2
2016-01-01;02:59:56;1.105;15.678;1;15.678;1;33.259;1;37.859;2;17.274;14.26;2;2.695;0.695;2
2016-01-01;03:59:56;1.105;15.666;1;15.666;1;33.227;1;37.827;2;10.051;7.03;2;2.563;0.563;2
2016-01-01;04:59:56;1.132;15.653;1;15.653;1;33.64;1;38.24;2;3.091;0.07;2;2.626;0.626;2
2016-01-01;05:59:56;1.129;15.667;1;15.667;1;32.583;1;37.183;2;15.302;12.27;2;2.524;0.524;2
2016-01-01;06:59:56;1.066;15.668;1;15.668;1;32.7;1;37.3;2;21.713;18.68;2;2.215;0.215;2
2016-01-01;07:59:56;1.161;15.665;1;15.665;1;33.32;1;37.92;2;22.657;19.62;2;2.32;0.32;2
2016-01-01;08:59:56;1.163;15.668;1;15.668;1;33.042;1;37.642;2;16.194;13.15;2;2.323;0.323;2
2016-01-01;09:59:56;1.102;15.649;1;15.649;1;32.216;1;36.816;2;12.068;9.02;2;2.345;0.345;2
2016-01-01;10:59:56;1.147;15.657;1;15.657;1;33.448;1;38.048;2;10.246;7.19;2;2.279;0.279;2
2016-01-01;11:59:56;1.066;15.664;1;15.664;1;32.046;1;36.646;2;11.452;8.4;2;2.113;0.113;2
2016-01-01;12:59:56;1.241;15.663;1;15.663;1;32.181;1;36.781;2;8.801;5.74;2;2.427;0.427;2
2016-01-01;13:59:56;1.069;15.669;1;15.669;1;32.22;1;36.82;2;11.502;8.44;2;2.21;0.21;2
2016-01-01;14:59:56;1.065;15.672;1;15.672;1;33.647;1;38.247;2;12.064;8.99;2;1.98;;9
2016-01-01;15:59:56;1.105;15.708;1;15.708;1;33.577;1;38.177;2;6.144;3.07;2;2.295;0.295;2
