Date;heure;Depth;Temperature;QC_TEMP;Temperature adjusted;QC_Temperature adjusted;Salinity;QC_PSAL;Salinity adjusted;QC_Salinity adjusted;Turbidity;Turbidity adjusted;QC_turbidity adjusted;Fluorescence;Fluorescence adjusted;QC_Fluorescence adjusted
2021-01-01;00:04:15;0.317;14.341;1;14.341;1;38.211;1;38.211;1;4.784;0.74;2;0.323;0.323;1
2021-01-01;01:04:15;0.424;14.342;1;14.342;1;38.227;1;38.227;1;4.355;0.28;2;0.366;0.366;1
2021-01-01;02:04:15;0.393;14.329;1;14.329;1;38.228;1;38.228;1;5.168;1.05;2;0.346;0.346;1
2021-01-01;03:04:15;0.456;14.36;1;14.36;1;38.244;1;38.244;1;4.693;0.53;2;0.419;0.419;1
2021-01-01;04:04:15;0.156;14.377;1;14.377;1;38.236;1;38.236;1;4.96;0.76;2;0.404;0.404;1
2021-01-01;05:04:15;0.31;14.265;1;14.265;1;38.16;1;38.16;1;5.144;0.9;2;0.403;0.403;1
2021-01-01;06:04:15;0.239;14.126;1;14.126;1;38.059;1;38.059;1;4.584;0.3;2;0.373;0.373;1
2021-01-01;07:04:15;0.324;14.121;1;14.121;1;38.052;1;38.052;1;5.026;0.71;2;0.425;0.425;1
2021-01-01;08:04:15;0.327;13.719;1;13.719;1;37.768;1;37.768;1;5.134;0.77;2;0.377;0.377;1
2021-01-01;09:04:15;0.49;13.53;1;13.53;1;37.493;1;37.493;1;3.35;;9;0.838;0.838;1
2021-01-01;10:04:15;0.319;13.632;1;13.632;1;37.627;1;37.627;1;5.948;1.51;2;0.461;0.461;1
2021-01-01;12:05:43;0.385;14.019;1;14.019;1;38.075;1;38.075;1;5.409;0.93;2;0.316;0.316;1
2021-01-01;13:05:43;0.324;14.145;1;14.145;1;38.162;1;38.162;1;5.364;0.84;2;0.323;0.323;1
2021-01-01;14:05:43;0.228;14.229;1;14.229;1;38.214;1;38.214;1;5.668;1.11;2;0.331;0.331;1
2021-01-01;15:05:43;0.168;14.258;1;14.258;1;38.23;1;38.23;1;4.851;0.25;2;0.297;0.297;1
2021-01-01;16:05:43;0.436;14.331;1;14.331;1;38.246;1;38.246;1;5.158;0.52;2;0.333;0.333;1
2021-01-01;17:05:43;0.307;14.335;1;14.335;1;38.253;1;38.253;1;4.58;;9;0.394;0.394;1
