Date;heure;Depth;Temperature;QC_TEMP;Temperature adjusted;QC_Temperature adjusted;Salinity;QC_PSAL;Salinity adjusted;QC_Salinity adjusted;Turbidity;Turbidity adjusted;QC_turbidity adjusted;Fluorescence;Fluorescence adjusted;QC_Fluorescence adjusted
2013-03-07;17:11:33;1.02;13.003;1;13.003;1;38.118;1;38.118;1;8.775;8.775;1;1.341;1.341;1
2013-03-07;18:11:33;1.008;13.012;1;13.012;1;38.113;1;38.113;1;8.596;8.596;1;1.477;1.477;1
2013-03-07;19:11:33;1.006;12.983;1;12.983;1;38.128;1;38.128;1;8.804;8.804;1;1.401;1.401;1
2013-03-07;20:11:33;0.954;12.979;1;12.979;1;38.122;1;38.122;1;8.682;8.682;1;1.444;1.444;1
2013-03-07;21:11:33;0.972;12.979;1;12.979;1;38.138;1;38.138;1;8.49;8.49;1;1.501;1.501;1
2013-03-07;22:11:33;1.01;12.962;1;12.962;1;38.15;1;38.15;1;8.365;8.365;1;1.379;1.379;1
2013-03-07;23:11:33;0.937;12.971;1;12.971;1;38.127;1;38.127;1;8.289;8.289;1;1.533;1.533;1
2013-03-08;00:11:33;0.985;12.982;1;12.982;1;38.134;1;38.134;1;7.855;7.855;1;1.395;1.395;1
2013-03-08;01:11:33;1.014;12.972;1;12.972;1;38.125;1;38.125;1;8.144;8.144;1;1.348;1.348;1
2013-03-08;02:11:33;0.99;12.955;1;12.955;1;38.128;1;38.128;1;7.894;7.894;1;1.287;1.287;1
2013-03-08;03:11:33;0.967;12.937;1;12.937;1;38.138;1;38.138;1;8.209;8.209;1;1.04;1.04;1
2013-03-08;04:11:33;1.004;12.951;1;12.951;1;38.137;1;38.137;1;8.246;8.246;1;1.168;1.168;1
2013-03-08;05:11:33;0.938;12.947;1;12.947;1;38.145;1;38.145;1;8.171;8.171;1;1.122;1.122;1
2013-03-08;06:11:33;0.929;12.936;1;12.936;1;38.147;1;38.147;1;8.159;8.159;1;1.068;1.068;1
2013-03-08;07:11:33;0.851;12.934;1;12.934;1;38.154;1;38.154;1;8.276;8.276;1;1.123;1.123;1
2013-03-08;08:11:33;0.971;12.926;1;12.926;1;38.147;1;38.147;1;8.079;8.079;1;1.057;1.057;1
