Date;heure;Depth;Temperature;QC_TEMP;Temperature adjusted;QC_Temperature adjusted;Salinity;QC_PSAL;Salinity adjusted;QC_Salinity adjusted;Turbidity;Turbidity adjusted;QC_turbidity adjusted;Fluorescence;Fluorescence adjusted;QC_Fluorescence adjusted
2012-01-26;09:26:53;0.016;11.187;1;;9;0.006;4;;9;15.664;;9;0.053;0.053;2
2012-01-26;10:26:52;0.846;13.587;1;13.587;1;37.702;1;;9;30.032;;9;0.921;0.914;2
2012-01-26;11:26:52;0.922;13.63;1;13.63;1;38.106;1;38.11;2;30.049;;9;0.611;0.596;2
2012-01-26;12:26:52;0.942;13.661;1;13.661;1;38.125;1;38.12;2;30.053;;9;0.631;0.609;2
2012-01-26;13:26:52;0.92;13.713;1;13.713;1;38.141;1;38.14;2;30.054;;9;0.763;0.733;2
2012-01-26;14:26:52;0.915;13.687;1;13.687;1;38.135;1;38.13;2;30.054;;9;1.068;1.031;2
2012-01-26;15:26:52;0.92;13.685;1;13.685;1;38.15;1;38.15;2;30.054;;9;1.298;1.253;2
2012-01-26;16:26:52;0.928;13.667;1;13.667;1;38.152;1;38.15;2;30.054;;9;1.422;1.37;2
2012-01-26;17:26:52;0.95;13.647;1;13.647;1;38.161;1;38.16;2;30.054;;9;1.86;1.8;2
2012-01-26;18:26:52;0.938;13.754;1;13.754;1;38.161;1;38.16;2;30.055;;9;1.643;1.576;2
2012-01-26;19:26:52;0.913;13.701;1;13.701;1;38.166;1;38.16;2;30.055;;9;1.843;1.768;2
2012-01-26;20:26:52;0.932;13.728;1;13.728;1;38.168;1;38.17;2;30.055;;9;1.903;1.821;2
2012-01-26;21:29:32;0.907;13.574;1;13.574;1;38.147;1;38.14;2;30.058;;9;1.575;1.485;2
2012-01-26;22:29:31;0.945;13.594;1;13.594;1;38.168;1;38.17;2;30.057;;9;1.885;1.788;2
2012-01-26;23:29:31;0.929;13.56;1;13.56;1;38.167;1;38.16;2;30.057;;9;1.555;1.451;2
2012-01-27;00:29:31;0.93;13.826;1;13.826;1;38.175;1;38.17;2;30.058;;9;1.287;1.175;2
2012-01-27;01:29:31;0.94;13.84;1;13.84;1;38.173;1;38.17;2;30.059;;9;1.557;1.438;2
2012-01-27;02:29:31;0.928;13.833;1;13.833;1;38.175;1;38.17;2;30.059;;9;1.463;1.336;2
2012-01-27;03:29:31;0.931;13.828;1;13.828;1;38.179;1;38.18;2;30.059;;9;1.206;1.072;2
2012-01-27;04:29:31;0.961;13.81;1;13.81;1;38.186;1;38.18;2;30.058;;9;1.309;1.167;2
2012-01-27;05:29:31;0.94;13.791;1;13.791;1;38.177;1;38.17;2;30.057;;9;1.205;1.056;2
2012-01-27;06:29:31;0.923;13.777;1;13.777;1;38.174;1;38.17;2;30.057;;9;1.126;0.969;2
2012-01-27;07:29:31;0.98;13.786;1;13.786;1;38.185;1;38.18;2;30.057;;9;1.235;1.071;2
2012-01-27;08:29:31;0.934;13.787;1;13.787;1;38.183;1;38.18;2;30.057;;9;1.157;0.985;2
2012-01-27;09:29:31;0.957;13.779;1;13.779;1;38.186;1;38.18;2;30.057;;9;1.062;0.883;2
2012-01-27;10:33:24;0.972;13.778;1;13.778;1;38.187;1;38.18;2;30.059;;9;1.171;0.984;2
2012-01-27;11:33:24;0.984;13.789;1;13.789;1;38.186;1;38.18;2;30.059;;9;0.938;0.744;2
2012-01-27;12:33:24;0.994;13.801;1;13.801;1;38.188;1;38.18;2;30.059;;9;1.005;0.804;2
2012-01-27;13:33:24;0.953;13.812;1;13.812;1;38.185;1;38.18;2;30.059;;9;1.088;0.879;2
2012-01-27;14:33:24;0.971;13.808;1;13.808;1;38.185;1;38.18;2;30.059;;9;1.275;1.059;2
2012-01-27;15:33:24;0.957;13.714;1;13.714;1;38.173;1;38.17;2;30.058;;9;1.916;1.692;2
2012-01-27;16:33:24;0.93;13.748;1;13.748;1;38.171;1;38.17;2;30.058;;9;2.238;2.007;2
2012-01-27;17:33:24;0.94;13.758;1;13.758;1;38.166;1;38.16;2;30.058;;9;2.095;1.856;2
2012-01-27;18:33:24;0.979;13.772;1;13.772;1;38.172;1;38.17;2;30.059;;9;2.447;2.201;2
2012-01-27;19:33:24;0.959;13.767;1;13.767;1;38.167;1;38.16;2;30.058;;9;2.186;1.932;2
2012-01-27;20:33:24;0.965;13.717;1;13.717;1;38.168;1;38.16;2;30.058;;9;2.343;2.082;2
2012-01-27;21:33:24;0.975;13.708;1;13.708;1;38.169;1;38.16;2;30.058;;9;2.172;1.903;2
2012-01-27;22:36:42;1.014;13.737;1;13.737;1;38.167;1;38.16;2;30.058;;9;2.782;2.506;2
2012-01-27;23:36:42;0.989;13.729;1;13.729;1;38.165;1;38.16;2;30.058;;9;3.036;2.752;2
2012-01-28;00:36:42;0.979;13.719;1;13.719;1;38.167;1;38.16;2;30.057;;9;3.061;2.77;2
2012-01-28;01:36:42;0.978;13.714;1;13.714;1;38.172;1;38.17;2;30.058;;9;2.305;2.006;2
2012-01-28;02:36:42;0.929;13.708;1;13.708;1;38.171;1;38.16;2;30.057;;9;2.216;1.91;2
2012-01-28;03:36:42;0.968;13.707;1;13.707;1;38.166;1;38.16;2;30.058;;9;2.155;1.842;2
2012-01-28;04:36:42;0.993;13.714;1;13.714;1;38.173;1;38.17;2;30.058;;9;1.985;1.664;2
2012-01-28;05:36:42;0.996;13.69;1;13.69;1;38.176;1;38.17;2;30.058;;9;2.174;1.846;2
2012-01-28;06:36:42;0.958;13.677;1;13.677;1;38.176;1;38.17;2;30.058;;9;2.039;1.703;2
2012-01-28;07:36:42;0.958;13.693;1;13.693;1;38.189;1;38.18;2;30.058;;9;1.455;1.112;2
2012-01-28;08:36:42;1.005;13.707;1;13.707;1;38.203;1;38.2;2;30.059;;9;1.133;0.782;2
2012-01-28;09:36:42;0.999;13.709;1;13.709;1;38.199;1;38.19;2;30.059;;9;1.026;0.668;2
2012-01-28;10:39:52;0.957;13.724;1;13.724;1;38.198;1;38.19;2;30.056;;9;0.904;0.538;2
2012-01-28;11:39:52;0.963;13.724;1;13.724;1;38.201;1;38.19;2;30.056;;9;0.807;0.434;2
2012-01-28;12:39:52;0.952;13.717;1;13.717;1;38.208;1;38.2;2;30.056;;9;0.982;0.601;2
2012-01-28;13:39:52;0.992;13.715;1;13.715;1;38.206;1;38.2;2;30.056;;9;0.887;0.499;2
2012-01-28;14:39:52;0.951;13.723;1;13.723;1;38.205;1;38.2;2;30.057;;9;0.758;0.362;2
2012-01-28;15:39:52;0.984;13.72;1;13.72;1;38.203;1;38.19;2;30.057;;9;1.166;0.763;2
2012-01-28;16:39:52;0.981;13.681;1;13.681;1;38.2;1;38.19;2;30.056;;9;1.374;0.964;2
2012-01-28;17:39:52;1.022;13.642;1;13.642;1;38.203;1;38.19;2;30.056;;9;1.628;1.21;2
2012-01-28;18:39:52;0.939;13.666;1;13.666;1;38.204;1;38.19;2;30.055;;9;1.858;1.433;2
2012-01-28;19:39:52;0.907;13.626;1;13.626;1;38.21;1;38.2;2;30.055;;9;1.969;1.536;2
2012-01-28;20:39:52;0.884;13.605;1;13.605;1;38.204;1;38.19;2;30.055;;9;2.165;1.725;2
2012-01-28;21:39:52;0.914;13.585;1;13.585;1;38.201;1;38.19;2;30.055;;9;1.78;1.332;2
2012-01-28;22:42:57;0.88;13.611;1;13.611;1;38.204;1;38.19;2;30.055;;9;2.001;1.546;2
2012-01-28;23:42:57;0.927;13.613;1;13.613;1;38.206;1;38.2;2;30.055;;9;1.638;1.175;2
2012-01-29;00:42:57;0.943;13.654;1;13.654;1;38.205;1;38.19;2;30.055;;9;1.552;1.082;2
2012-01-29;01:42:57;0.892;13.654;1;13.654;1;38.208;1;38.2;2;30.055;;9;2.177;1.699;2
