Date;heure;Depth;Temperature;QC_TEMP;Temperature adjusted;QC_Temperature adjusted;Salinity;QC_PSAL;Salinity adjusted;QC_Salinity adjusted;Turbidity;Turbidity adjusted;QC_turbidity adjusted;Fluorescence;Fluorescence adjusted;QC_Fluorescence adjusted
2019-02-07;13:33:10;0.445;13.488;1;13.488;1;38.085;1;38.085;1;0.476;0.476;1;0.519;0.219;1
2019-02-07;14:33:10;0.448;13.457;1;13.457;1;38.085;1;38.085;1;0.351;0.351;1;0.561;0.261;1
2019-02-07;15:33:10;0.413;13.433;1;13.433;1;38.085;1;38.085;1;0.441;0.441;1;0.577;0.277;1
2019-02-07;16:33:10;0.589;13.419;1;13.419;1;38.084;1;38.084;1;0.487;0.487;1;0.664;0.364;1
2019-02-07;17:33:10;0.588;13.385;1;13.385;1;38.086;1;38.086;1;0.455;0.455;1;0.682;0.382;1
2019-02-07;18:33:10;0.395;13.357;1;13.357;1;38.09;1;38.09;1;0.453;0.453;1;0.643;0.343;1
2019-02-07;19:33:10;0.506;13.338;1;13.338;1;38.086;1;38.086;1;0.639;0.639;1;0.83;0.53;1
2019-02-07;20:33:10;0.525;13.334;1;13.334;1;38.093;1;38.093;1;0.62;0.62;1;0.95;0.65;1
2019-02-07;21:33:10;0.545;13.323;1;13.323;1;38.087;1;38.087;1;1.051;1.051;1;1.028;0.728;1
2019-02-07;22:33:10;0.474;13.328;1;13.328;1;38.09;1;38.09;1;0.488;0.488;1;0.956;0.656;1
2019-02-07;23:33:10;0.497;13.311;1;13.311;1;38.084;1;38.084;1;1.373;1.373;1;1.085;0.785;1
2019-02-08;00:33:10;0.313;13.311;1;13.311;1;38.098;1;38.098;1;0.801;0.801;1;1.066;0.766;1
2019-02-08;01:33:10;0.465;13.319;1;13.319;1;38.09;1;38.09;1;1.182;1.182;1;0.897;0.597;1
2019-02-08;02:33:10;0.309;13.325;1;13.325;1;38.109;1;38.109;1;1.093;1.093;1;0.91;0.61;1
2019-02-08;03:33:10;0.335;13.345;1;13.345;1;38.095;1;38.095;1;0.733;0.733;1;0.871;0.571;1
2019-02-08;04:33:10;0.487;13.366;1;13.366;1;38.096;1;38.096;1;0.574;0.574;1;0.945;0.645;1
2019-02-08;05:33:10;0.493;13.39;1;13.39;1;38.096;1;38.096;1;0.397;0.397;1;0.843;0.543;1
2019-02-08;06:33:10;0.55;13.385;1;13.385;1;38.099;1;38.099;1;0.82;0.82;1;1.205;0.905;1
