Date;heure;Depth;Temperature;QC_TEMP;Temperature adjusted;QC_Temperature adjusted;Salinity;QC_PSAL;Salinity adjusted;QC_Salinity adjusted;Turbidity;Turbidity adjusted;QC_turbidity adjusted;Fluorescence;Fluorescence adjusted;QC_Fluorescence adjusted
2017-01-01;00:51:48;1.051;15.11;1;15.11;1;38.237;1;38.237;1;2.881;2.86;2;0.508;0.508;1
2017-01-01;01:51:48;1.054;15.109;1;15.109;1;38.236;1;38.236;1;2.64;2.6;2;0.482;0.482;1
2017-01-01;02:51:48;1.044;15.113;1;15.113;1;38.237;1;38.237;1;2.384;2.32;2;0.596;0.596;1
2017-01-01;03:51:48;1.022;15.127;1;15.127;1;38.235;1;38.235;1;2.875;2.79;2;0.526;0.526;1
2017-01-01;04:51:48;1.055;15.151;1;15.151;1;38.234;1;38.234;1;2.509;2.4;2;0.44;0.44;1
2017-01-01;05:51:48;1.001;15.165;1;15.165;1;38.238;1;38.238;1;2.33;2.21;2;0.378;0.378;1
2017-01-01;06:51:48;1.06;15.177;1;15.177;1;38.235;1;38.235;1;1.917;1.77;2;0.394;0.394;1
2017-01-01;07:51:48;0.987;15.18;1;15.18;1;38.239;1;38.239;1;2.041;1.87;2;0.364;0.364;1
2017-01-01;08:51:48;1.021;15.204;1;15.204;1;38.237;1;38.237;1;2.032;1.84;2;0.328;0.328;1
2017-01-01;09:51:48;1.086;15.245;1;15.245;1;38.237;1;38.237;1;1.061;0.85;2;0.248;0.248;1
2017-01-01;11:53:19;1.019;15.284;1;15.284;1;38.238;1;38.238;1;1.181;0.95;2;0.191;0.191;1
2017-01-01;12:53:19;1.002;15.284;1;15.284;1;38.237;1;38.237;1;1.504;1.25;2;0.233;0.233;1
2017-01-01;13:53:19;1.045;15.284;1;15.284;1;38.237;1;38.237;1;1.17;0.9;2;0.267;0.267;1
2017-01-01;14:53:19;1.027;15.27;1;15.27;1;38.243;1;38.243;1;1.399;1.11;2;0.285;0.285;1
2017-01-01;15:53:19;1.034;15.263;1;15.263;1;38.237;1;38.237;1;1.916;1.6;2;0.347;0.347;1
2017-01-01;16:53:19;1.118;15.258;1;15.258;1;38.241;1;38.241;1;1.516;1.18;2;0.388;0.388;1
2017-01-01;17:53:19;1.027;15.245;1;15.245;1;38.239;1;38.239;1;2.242;1.89;2;0.387;0.387;1
2017-01-01;18:53:19;0.98;15.248;1;15.248;1;38.238;1;38.238;1;1.772;1.4;2;0.421;0.421;1
2017-01-01;19:53:19;1.074;15.247;1;15.247;1;38.238;1;38.238;1;1.276;0.88;2;0.488;0.488;1
2017-01-01;20:53:19;1.049;15.238;1;15.238;1;38.238;1;38.238;1;1.377;0.96;2;0.395;0.395;1
2017-01-01;21:53:19;1.027;15.236;1;15.236;1;38.244;1;38.244;1;1.765;1.33;2;0.483;0.483;1
