Date;heure;Depth;Temperature;QC_TEMP;Temperature adjusted;QC_Temperature adjusted;Salinity;QC_PSAL;Salinity adjusted;QC_Salinity adjusted;Turbidity;Turbidity adjusted;QC_turbidity adjusted;Fluorescence;Fluorescence adjusted;QC_Fluorescence adjusted
2014-03-13;11:12:16;0.721;14.178;1;14.178;1;37.771;1;37.771;1;0;;9;0.47;0.47;1
2014-03-13;12:12:16;0.694;14.122;1;14.122;1;37.769;1;37.769;1;0;;9;0.548;0.548;1
2014-03-13;13:12:16;0.705;14.579;1;14.579;1;37.814;1;37.814;1;0;;9;0.526;0.526;1
2014-03-13;14:12:16;0.748;14.249;1;14.249;1;37.796;1;37.796;1;0;;9;0.55;0.55;1
2014-03-13;15:12:16;0.711;14.806;1;14.806;1;37.838;1;37.838;1;0;;9;0.6;0.6;1
2014-03-13;16:12:16;0.718;14.69;1;14.69;1;37.831;1;37.831;1;0;;9;0.734;0.734;1
2014-03-13;17:12:16;0.728;14.66;1;14.66;1;37.837;1;37.837;1;0;;9;1.407;1.407;1
2014-03-13;18:12:16;0.693;14.679;1;14.679;1;37.833;1;37.833;1;0;;9;2.182;2.182;1
2014-03-13;19:12:16;0.696;14.593;1;14.593;1;37.834;1;37.834;1;0;;9;2.197;2.197;1
2014-03-13;20:12:16;0.716;14.444;1;14.444;1;37.865;1;37.865;1;0;;9;2.031;2.031;1
2014-03-13;21:12:16;0.755;14.359;1;14.359;1;37.876;1;37.876;1;0;;9;1.879;1.879;1
2014-03-13;22:12:16;0.695;14.304;1;14.304;1;37.896;1;37.896;1;0;;9;1.925;1.925;1
2014-03-13;23:12:16;0.719;14.206;1;14.206;1;37.894;1;37.894;1;0;;9;1.918;1.918;1
2014-03-14;00:12:16;0.702;14.164;1;14.164;1;37.894;1;37.894;1;0;;9;1.82;1.82;1
2014-03-14;01:12:16;0.737;14.144;1;14.144;1;37.892;1;37.892;1;0;;9;1.894;1.894;1
2014-03-14;02:12:16;0.76;14.097;1;14.097;1;37.895;1;37.895;1;0;;9;2.106;2.106;1
