Date;heure;Depth;Temperature;QC_TEMP;Temperature adjusted;QC_Temperature adjusted;Salinity;QC_PSAL;Salinity adjusted;QC_Salinity adjusted;Turbidity;Turbidity adjusted;QC_turbidity adjusted;Fluorescence;Fluorescence adjusted;QC_Fluorescence adjusted
2020-01-01;00:55:56;0.626;14.929;1;14.929;1;37.974;1;37.974;1;1.86;1.86;1;0.192;0.192;1
2020-01-01;02:57:22;0.636;14.352;1;14.352;1;37.754;1;37.754;1;1.935;1.935;1;0.223;0.223;1
2020-01-01;03:57:22;0.631;14.238;1;14.238;1;37.708;1;37.708;1;1.653;1.653;1;0.204;0.204;1
2020-01-01;04:57:22;0.661;14.181;1;14.181;1;37.699;1;37.699;1;1.747;1.747;1;0.212;0.212;1
2020-01-01;05:57:22;0.633;14.192;1;14.192;1;37.702;1;37.702;1;1.72;1.72;1;0.225;0.225;1
2020-01-01;06:57:22;0.665;14.145;1;14.145;1;37.617;1;37.617;1;1.622;1.622;1;0.317;0.317;1
2020-01-01;07:57:22;0.676;13.998;1;13.998;1;37.524;1;37.524;1;1.861;1.861;1;0.222;0.222;1
2020-01-01;08:57:22;0.663;13.951;1;13.951;1;37.477;1;37.477;1;1.961;1.961;1;0.219;0.219;1
2020-01-01;09:57:22;0.639;14.01;1;14.01;1;37.472;1;37.472;1;1.637;1.637;1;0.191;0.191;1
2020-01-01;10:57:22;0.661;14.081;1;14.081;1;37.433;1;37.433;1;1.46;1.46;1;0.167;0.167;1
2020-01-01;11:57:22;0.703;14.044;1;14.044;1;37.428;1;37.428;1;1.302;1.302;1;0.207;0.207;1
2020-01-01;12:57:22;0.632;14.705;1;14.705;1;37.806;1;37.806;1;1.373;1.373;1;0.177;0.177;1
2020-01-01;13:57:22;0.672;14.6;1;14.6;1;37.775;1;37.775;1;2.164;2.164;1;0.17;0.17;1
2020-01-01;14:57:22;0.635;14.523;1;14.523;1;37.784;1;37.784;1;1.551;1.551;1;0.342;0.342;1
2020-01-01;15:57:22;0.69;14.488;1;14.488;1;37.791;1;37.791;1;1.203;1.203;1;0.226;0.226;1
2020-01-01;16:57:22;0.695;14.601;1;14.601;1;37.838;1;37.838;1;0.998;0.998;1;0.245;0.245;1
2020-01-01;17:57:22;0.629;14.66;1;14.66;1;37.854;1;37.854;1;2.12;2.12;1;0.585;0.585;1
2020-01-01;18:57:22;0.654;14.666;1;14.666;1;37.853;1;37.853;1;0.902;0.902;1;0.23;0.23;1
2020-01-01;19:57:22;0.658;14.684;1;14.684;1;37.86;1;37.86;1;1.287;1.287;1;0.267;0.267;1
2020-01-01;20:57:22;0.655;14.696;1;14.696;1;37.874;1;37.874;1;1.159;1.159;1;0.263;0.263;1
2020-01-01;21:57:22;0.671;14.718;1;14.718;1;37.897;1;37.897;1;1.084;1.084;1;0.243;0.243;1
2020-01-01;22:57:22;0.683;14.722;1;14.722;1;37.912;1;37.912;1;1.39;1.39;1;0.233;0.233;1
2020-01-01;23:57:22;0.629;14.77;1;14.77;1;37.945;1;37.945;1;1.141;1.141;1;0.229;0.229;1
2020-01-02;00:57:22;0.64;14.955;1;14.955;1;38.017;1;38.017;1;1.307;1.307;1;0.21;0.21;1
2020-01-02;02:58:49;0.658;15.076;1;15.076;1;38.064;1;38.064;1;1.036;1.036;1;0.218;0.218;1
2020-01-02;03:58:49;0.627;15.078;1;15.078;1;38.063;1;38.063;1;1.199;1.199;1;0.183;0.183;1
2020-01-02;04:58:49;0.656;15.089;1;15.089;1;38.075;1;38.075;1;1.322;1.322;1;0.201;0.201;1
2020-01-02;05:58:49;0.621;15.151;1;15.151;1;38.076;1;38.076;1;1.213;1.213;1;0.225;0.225;1
