"","datetime","temp_eol_c","sal_eol_psu","oxy_eol_mll"
"91",2014-04-22 18:00:00,16.1979,37.6024,NA
"92",2014-04-22 19:00:00,16.0376,37.5926,NA
"93",2014-04-22 20:00:00,16.0147,37.6037,NA
"94",2014-04-22 21:00:00,16.2157,37.5542,NA
"95",2014-04-22 22:00:00,16.1119,37.5563,NA
"96",2014-04-22 23:00:00,16.0903,37.5419,NA
"97",2014-04-23 00:00:00,16.0808,37.5421,NA
"98",2014-04-23 01:00:00,16.0812,37.5465,NA
"99",2014-04-23 02:00:00,16.1076,37.5639,NA
"100",2014-04-23 03:00:00,16.1211,37.5655,NA
"101",2014-04-23 04:00:00,16.1049,37.5657,NA
"102",2014-04-23 05:00:00,16.1037,37.5613,NA
"103",2014-04-23 06:00:00,16.1,37.5762,NA
"104",2014-04-23 07:00:00,16.1105,37.5767,NA
"105",2014-04-23 08:00:00,16.1042,37.5933,NA
"106",2014-04-23 09:00:00,16.1396,37.6081,NA
"107",2014-04-23 10:00:00,16.1557,37.6121,NA
"108",2014-04-23 11:00:00,16.2016,37.6224,NA
"109",2014-04-23 12:00:00,16.2321,37.6149,NA
"110",2014-04-23 13:00:00,16.3803,37.6362,NA
"111",2014-04-23 14:00:00,16.5439,37.6379,NA
"112",2014-04-23 15:00:00,16.545,37.6295,NA
"113",2014-04-23 16:00:00,16.6301,37.6785,NA
"114",2014-04-23 17:00:00,16.9745,37.6421,NA
"115",2014-04-23 18:00:00,16.8033,37.6372,NA
"116",2014-04-23 19:00:00,16.7594,37.6268,NA
"117",2014-04-23 20:00:00,16.9607,37.5786,NA
"118",2014-04-23 21:00:00,16.899,37.5838,NA
"119",2014-04-23 22:00:00,16.8875,37.6003,NA
"120",2014-04-23 23:00:00,16.6063,37.6442,NA
"121",2014-04-24 00:00:00,16.5981,37.6314,NA
"122",2014-04-24 01:00:00,16.6623,37.6473,NA
"123",2014-04-24 02:00:00,16.532,37.6578,NA
"124",2014-04-24 03:00:00,16.0761,37.7372,NA
"125",2014-04-24 04:00:00,16.2112,37.6706,NA
"126",2014-04-24 05:00:00,16.1064,37.679,NA
"127",2014-04-24 06:00:00,15.9417,37.692,NA
"128",2014-04-24 07:00:00,15.8203,37.7028,NA
"129",2014-04-24 08:00:00,15.7647,37.7122,NA
"130",2014-04-24 09:00:00,15.8792,37.7195,NA
"131",2014-04-24 10:00:00,15.9498,37.707,NA
"132",2014-04-24 11:00:00,15.939,37.7199,NA
"133",2014-04-24 12:00:00,15.8486,37.7469,NA
"134",2014-04-24 13:00:00,16.5499,37.6236,NA
"135",2014-04-24 14:00:00,16.9001,37.6765,NA
"136",2014-04-24 15:00:00,17.1119,37.6708,NA
"137",2014-04-24 16:00:00,17.517,37.6842,NA
"138",2014-04-24 17:00:00,17.3855,37.7174,NA
"139",2014-04-24 18:00:00,17.4077,37.7454,NA
"140",2014-04-24 19:00:00,17.3381,37.6976,NA
"141",2014-04-24 20:00:00,17.2693,37.6778,NA
"142",2014-04-24 21:00:00,17.2382,37.6816,NA
"143",2014-04-24 22:00:00,17.3612,37.6814,NA
"144",2014-04-24 23:00:00,17.3962,37.6869,NA
"145",2014-04-25 00:00:00,17.1441,37.6595,NA
"146",2014-04-25 01:00:00,17.2514,37.6785,NA
"147",2014-04-25 02:00:00,16.9874,37.7493,NA
"148",2014-04-25 03:00:00,17.0914,37.716,NA
"149",2014-04-25 04:00:00,16.8174,37.6965,NA
"150",2014-04-25 05:00:00,16.5198,37.7256,NA
"151",2014-04-25 06:00:00,16.2888,37.7057,NA
"152",2014-04-25 07:00:00,16.0398,37.7206,NA
"153",2014-04-25 08:00:00,16.2378,37.7203,NA
"154",2014-04-25 09:00:00,16.2011,37.7296,NA
"155",2014-04-25 10:00:00,16.2565,37.729,NA
"156",2014-04-25 11:00:00,16.2535,37.7325,NA
"157",2014-04-25 12:00:00,16.3159,37.7289,NA
"158",2014-04-25 13:00:00,16.3084,37.7461,NA
"159",2014-04-25 14:00:00,16.2297,37.7589,NA
"160",2014-04-25 15:00:00,16.2904,37.7595,NA
"161",2014-04-25 16:00:00,16.3015,37.7435,NA
"162",2014-04-25 17:00:00,16.5701,37.7279,NA
"163",2014-04-25 18:00:00,16.6061,37.7084,NA
"164",2014-04-25 19:00:00,16.6081,37.6994,NA
"165",2014-04-25 20:00:00,16.5068,37.6669,NA
"166",2014-04-25 21:00:00,16.5941,37.6441,NA
"167",2014-04-25 22:00:00,16.4627,37.6206,NA
"168",2014-04-25 23:00:00,16.379,37.6014,NA
"169",2014-04-26 00:00:00,16.3178,37.5731,NA
"170",2014-04-26 01:00:00,16.4431,37.597,NA
"171",2014-04-26 02:00:00,16.4135,37.5951,NA
"172",2014-04-26 03:00:00,16.4133,37.6091,NA
"173",2014-04-26 04:00:00,16.3846,37.6076,NA
"174",2014-04-26 05:00:00,16.3333,37.6068,NA
"175",2014-04-26 06:00:00,16.2968,37.6098,NA
"176",2014-04-26 07:00:00,16.2854,37.6204,NA
"177",2014-04-26 08:00:00,16.3051,37.6349,NA
"178",2014-04-26 09:00:00,16.4941,37.6806,5.95265
"179",2014-04-26 10:00:00,16.6239,37.6925,NA
