"datetime";"temp_eol_c";"sal_eol_psu";"oxy_umol_kg";"Year";"Month";"Year.Month";"Year.Month.Day";"dMonth";"Hour";"NB_OBS_DAY"
2021-03-19;13.9023833333333;38.05625;261.831928150271;"2021";"03";"2021-03";"2021-03-19";31;"16:00:00";2
2021-03-20;13.8633666666667;38.0658333333333;259.983299131507;"2021";"03";"2021-03";"2021-03-20";31;"09:00:00";2
2021-03-20;13.9715833333333;38.0717;260.714969213468;"2021";"03";"2021-03";"2021-03-20";31;"16:00:00";2
2021-03-21;13.8080666666667;38.0528333333333;260.29073197271;"2021";"03";"2021-03";"2021-03-21";31;"09:00:00";2
2021-03-21;13.9450333333333;38.0466833333333;260.642785511403;"2021";"03";"2021-03";"2021-03-21";31;"16:00:00";2
2021-03-22;13.8013166666667;38.0544;259.852597014587;"2021";"03";"2021-03";"2021-03-22";31;"09:00:00";2
2021-03-22;14.08925;38.0560333333333;260.732423429512;"2021";"03";"2021-03";"2021-03-22";31;"16:00:00";2
2021-03-23;13.8911166666667;38.0525166666667;261.005174493299;"2021";"03";"2021-03";"2021-03-23";31;"09:00:00";2
2021-03-23;14.2439166666667;38.0557833333333;261.533810948246;"2021";"03";"2021-03";"2021-03-23";31;"16:00:00";2
2021-03-24;14.0191333333333;38.0643666666667;261.563805139465;"2021";"03";"2021-03";"2021-03-24";31;"09:00:00";2
2021-03-24;14.39015;38.065;262.550084851688;"2021";"03";"2021-03";"2021-03-24";31;"16:00:00";2
2021-03-25;14.03065;38.0327166666667;263.897666123933;"2021";"03";"2021-03";"2021-03-25";31;"09:00:00";2
2021-03-25;14.4883666666667;38.0647333333333;266.019108443415;"2021";"03";"2021-03";"2021-03-25";31;"16:00:00";2
2021-03-26;14.3118333333333;38.0568333333333;267.509435301438;"2021";"03";"2021-03";"2021-03-26";31;"09:00:00";2
2021-03-26;14.794;38.0669166666667;265.280317753886;"2021";"03";"2021-03";"2021-03-26";31;"16:00:00";2
2021-03-27;14.4271166666667;38.05695;266.477774283012;"2021";"03";"2021-03";"2021-03-27";31;"09:00:00";2
2021-03-27;14.4975333333333;38.0605833333333;264.450666194395;"2021";"03";"2021-03";"2021-03-27";31;"16:00:00";2
2021-03-28;14.3194666666667;38.0747;262.976530142931;"2021";"03";"2021-03";"2021-03-28";31;"09:00:00";2
2021-03-28;14.738;38.0768166666667;263.538634897944;"2021";"03";"2021-03";"2021-03-28";31;"16:00:00";2
2021-03-29;14.5402;38.0698666666667;264.173579858717;"2021";"03";"2021-03";"2021-03-29";31;"09:00:00";2
2021-03-29;15.48305;38.07395;264.860455118311;"2021";"03";"2021-03";"2021-03-29";31;"16:00:00";2
2021-03-30;15.1650833333333;38.0543;268.769630815831;"2021";"03";"2021-03";"2021-03-30";31;"09:00:00";2
2021-03-30;15.6305833333333;38.0643;264.657981098984;"2021";"03";"2021-03";"2021-03-30";31;"16:00:00";2
2021-03-31;14.9689666666667;38.0260166666667;267.985993756275;"2021";"03";"2021-03";"2021-03-31";31;"09:00:00";2
2021-03-31;15.3056;37.9502166666667;265.780167601724;"2021";"03";"2021-03";"2021-03-31";31;"16:00:00";2
2021-04-01;14.5794166666667;38.07195;267.487774931202;"2021";"04";"2021-04";"2021-04-01";30;"09:00:00";2
2021-04-01;15.4868;38.0534166666667;269.487902272551;"2021";"04";"2021-04";"2021-04-01";30;"16:00:00";2
2021-04-02;15.0412666666667;38.0324166666667;265.687780892617;"2021";"04";"2021-04";"2021-04-02";30;"09:00:00";2
2021-04-02;15.3988333333333;38.0257166666667;265.764048770342;"2021";"04";"2021-04";"2021-04-02";30;"16:00:00";2
2021-04-03;15.3988;38.0296833333333;267.566475079377;"2021";"04";"2021-04";"2021-04-03";30;"09:00:00";2
2021-04-03;15.4737833333333;38.03455;267.0085840379;"2021";"04";"2021-04";"2021-04-03";30;"16:00:00";2
2021-04-04;15.2885666666667;38.0225666666667;263.47533547994;"2021";"04";"2021-04";"2021-04-04";30;"09:00:00";2
2021-04-04;15.3200333333333;37.9784166666667;263.959707679614;"2021";"04";"2021-04";"2021-04-04";30;"16:00:00";2
2021-04-05;15.0848;38.0171;262.737428898079;"2021";"04";"2021-04";"2021-04-05";30;"09:00:00";2
2021-04-05;15.7328333333333;38.0197;265.912867754586;"2021";"04";"2021-04";"2021-04-05";30;"16:00:00";2
2021-04-06;15.154;38.0553333333333;266.125475655786;"2021";"04";"2021-04";"2021-04-06";30;"09:00:00";2
2021-04-06;15.5536166666667;38.0278666666667;264.188743543562;"2021";"04";"2021-04";"2021-04-06";30;"16:00:00";2
2021-04-07;15.0022166666667;38.0774666666667;263.148488354435;"2021";"04";"2021-04";"2021-04-07";30;"09:00:00";2
2021-04-07;15.23645;38.0798166666667;263.099722226351;"2021";"04";"2021-04";"2021-04-07";30;"16:00:00";2
2021-04-08;14.8817833333333;38.0963;263.315501571872;"2021";"04";"2021-04";"2021-04-08";30;"09:00:00";2
2021-04-08;15.04375;38.1026166666667;263.876945495559;"2021";"04";"2021-04";"2021-04-08";30;"16:00:00";2
